#step enthalpy vol
0 -6814.3018922359979115 1271.4321265258090534
10 -6815.9543061537196991 1271.0173013901785453
20 -6813.4151601457460856 1269.7711279790346453
30 -6811.1200121676920389 1267.758294705897697
40 -6806.8873304415546954 1265.0612440369236538
50 -6807.7084071958452114 1261.8366666669564893
60 -6810.5364455753679067 1258.0988057904121433
70 -6809.2067831589856723 1253.771585706784208
80 -6811.447685916537921 1248.8993215196992423
90 -6813.4122369144179174 1243.4322910242003672
100 -6810.7911097922133195 1237.3484598373370318
110 -6808.917502744153353 1230.7259764985037691
120 -6808.2061522595868155 1223.6575517198546095
130 -6806.6983183268375797 1216.2273737822567909
140 -6807.1965963943430324 1208.4980289611896751
150 -6806.3145333029533504 1200.4882844544022191
160 -6803.2667610255684849 1192.230660198173382
170 -6797.9739983342360574 1183.8672865087351056
180 -6792.5679084133862489 1175.6396041022924237
190 -6790.1885644331496223 1167.7241423583241158
200 -6783.077926805079187 1160.244455535183306
210 -6773.8599260470346053 1153.4130819644519761
220 -6768.040468496829817 1147.4962917693260351
230 -6763.459155319981619 1142.6794258644961246
240 -6761.8993889827152088 1139.0759449267673062
250 -6763.3814469227518202 1136.7074386251222222
260 -6770.3498751051120053 1135.4909473583040835
270 -6775.178348235732301 1135.1807158945146057
280 -6774.9187086270876534 1135.6126255502763343
290 -6777.1346579640594427 1136.7775624529381275
300 -6782.3261508900604895 1138.5741782911502469
310 -6785.4918259989590297 1140.839955191611125
320 -6777.7709263975766589 1143.5317150328123716
330 -6776.5593154494317787 1146.7970160079005382
340 -6784.6031814108046092 1150.6802139610886115
350 -6789.9867237018152082 1154.9937101754210289
360 -6788.5485743139743136 1159.5736190910099594
370 -6790.2783981174197834 1164.3841279178229797
380 -6792.9103685803065673 1169.3981173933002538
390 -6793.7621647508894966 1174.5556249553644648
400 -6792.75365378206061 1179.7925832207677104
410 -6789.2923735793883679 1185.1457156523122194
420 -6792.7409799688921339 1190.677189657568988
430 -6793.8215588478487916 1196.2688489058261894
440 -6794.8623096376841204 1201.823208396712289
450 -6799.4591883586044787 1207.3009649064272253
460 -6803.9840135700678729 1212.5575932090248443
470 -6803.4719202888009022 1217.4605140710468731
480 -6802.2788152627699674 1221.9787431510060287
490 -6808.7759128160523687 1226.0713985806733035
500 -6814.7590284157395217 1229.5185647046575923
510 -6817.8732425958096428 1232.1059697613195567
520 -6811.4270564243779518 1233.7565632291018574
530 -6802.0090183025486112 1234.6583131937159123
540 -6797.3144791079621427 1235.1247799347941054
550 -6798.3604967701985515 1235.3513550208133438
560 -6804.3498839291059994 1235.2905360108115929
570 -6806.608818388547661 1234.7480380727320153
580 -6805.2442391025415418 1233.628110587822448
590 -6804.5453745899139903 1231.987811924211428
600 -6799.9532535058388021 1229.8936796888208391
610 -6798.2163097293023384 1227.5273401470976751
620 -6797.554657244540067 1225.0156844937494043
630 -6799.8500609409456956 1222.366706404490742
640 -6803.5321201618380655 1219.499753616224325
650 -6801.5855964500569826 1216.3528466211446357
660 -6797.1061374758282909 1212.9847556806573721
670 -6793.6668153475275176 1209.5572316562841024
680 -6792.1728739848458645 1206.1860025931562177
690 -6793.8510568933352261 1202.9215364767524079
700 -6795.0854477918055636 1199.7646526031574012
710 -6797.4654000772297877 1196.6924941126269459
720 -6800.5038443152297987 1193.6327935349720519
730 -6798.6242536727477273 1190.514524401879271
740 -6798.3970206165186028 1187.4103384474321956
750 -6796.5260716164248151 1184.3508662331175856
760 -6799.384598155288586 1181.3659445435991984
770 -6798.5790903831994001 1178.4206368234888487
780 -6796.5188984281012381 1175.5166846017259559
790 -6796.0396581031618553 1172.693511924551558
800 -6794.9471917739829223 1169.9833271590971435
810 -6793.0961936670037176 1167.4415755033066944
820 -6790.2521747207156295 1165.1675025062793338
830 -6789.7587190449221453 1163.2290133993387826
840 -6789.347108704272614 1161.6268769867658648
850 -6792.6148015581484287 1160.3606512734863827
860 -6790.0236152445468178 1159.345479834613343
870 -6789.131631172640482 1158.6226722351789249
880 -6794.6103956424758508 1158.2287946744083911
890 -6798.6644685323635713 1158.0209629831763323
900 -6802.8682906196863769 1157.8090574599925731
910 -6801.6408598174284634 1157.4330375941149214
920 -6793.3265085616585566 1156.9816584242880708
930 -6790.7197348906693151 1156.6719956010661008
940 -6789.5290585661177829 1156.6117828231067506
950 -6789.0373627318667786 1156.8518216511522496
960 -6787.9087244748607191 1157.4074738217914273
970 -6787.251323712201156 1158.303943875991763
980 -6784.4962623419305601 1159.5584056891659657
990 -6781.8763478704458976 1161.2418344877121399
1000 -6781.4962531705568836 1163.4502977002177886
