#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.057494e-02       7.787532e-04       6.446216e-03       5.632759e-02       1.622800e-02       3.393827e-02
          10       1.659675e-02       1.708710e-03       8.989773e-03       5.641580e-02       1.396880e-02       3.181136e-02
          20       2.216576e-02       9.730493e-04       1.076065e-02       5.883055e-02       1.710994e-02       3.484067e-02
          30       2.373273e-02       1.260568e-03       1.267485e-02       6.076627e-02       1.197111e-02       3.647060e-02
          40       2.453785e-02       2.124381e-03       1.320040e-02       8.190844e-02       1.852430e-02       4.037499e-02
          50       2.211301e-02       6.070716e-04       1.184331e-02       7.782538e-02       1.218493e-02       4.256541e-02
          60       2.055203e-02       1.876461e-03       1.079464e-02       1.104586e-01       1.977563e-02       4.734843e-02
          70       1.723128e-02       2.735389e-03       8.964105e-03       1.104335e-01       2.062036e-02       5.031329e-02
          80       1.824660e-02       3.183358e-03       8.489640e-03       8.830079e-02       2.124408e-02       4.762796e-02
          90       2.046758e-02       2.583781e-03       1.094480e-02       7.992790e-02       2.285051e-02       4.546817e-02
         100       1.925424e-02       2.641444e-03       1.022036e-02       7.163605e-02       1.989704e-02       4.619608e-02
         110       2.035073e-02       3.781539e-03       1.034395e-02       8.110193e-02       2.168025e-02       4.531012e-02
         120       1.914127e-02       1.571579e-03       9.969869e-03       8.068079e-02       2.158499e-02       4.635469e-02
         130       1.564597e-02       1.612021e-03       7.304327e-03       8.029956e-02       2.505126e-02       4.876011e-02
         140       1.984422e-02       1.028286e-03       9.430114e-03       8.133359e-02       2.331248e-02       4.713630e-02
         150       2.150193e-02       3.615838e-03       1.145335e-02       8.208692e-02       1.711340e-02       4.529060e-02
         160       1.770188e-02       3.273803e-03       9.800689e-03       9.302772e-02       2.568216e-02       4.951456e-02
         170       8.644197e-03       9.417687e-04       5.148937e-03       1.092658e-01       2.710048e-02       5.178465e-02
         180       7.402439e-03       1.708983e-03       4.548015e-03       8.291770e-02       1.861836e-02       4.931609e-02
         190       1.459403e-02       2.254153e-03       8.106242e-03       8.878393e-02       1.811467e-02       5.343351e-02
         200       2.275901e-02       1.043409e-03       1.131224e-02       9.886945e-02       2.757063e-02       5.665824e-02
         210       2.796738e-02       1.860600e-03       1.439420e-02       1.141523e-01       2.773164e-02       5.613829e-02
         220       2.974471e-02       2.721164e-03       1.533216e-02       1.260111e-01       2.314787e-02       5.662412e-02
         230       1.848386e-02       3.318467e-03       1.022431e-02       1.080467e-01       2.552509e-02       5.491233e-02
         240       1.364670e-02       2.241622e-03       7.200440e-03       1.467701e-01       2.532182e-02       5.763641e-02
         250       1.636003e-02       7.976790e-04       8.470822e-03       1.219656e-01       2.450489e-02       5.795837e-02
         260       1.746393e-02       1.176732e-03       9.739818e-03       9.480055e-02       2.542949e-02       5.414562e-02
         270       1.914957e-02       2.064468e-03       1.022995e-02       9.603998e-02       2.342321e-02       5.279234e-02
         280       1.537509e-02       2.736796e-03       8.956245e-03       1.006667e-01       2.735635e-02       5.177346e-02
         290       1.293889e-02       3.926121e-03       7.839726e-03       1.053550e-01       2.547732e-02       4.930682e-02
         300       1.593590e-02       3.698264e-03       8.757223e-03       9.261912e-02       2.308866e-02       5.057523e-02
         310       2.028515e-02       3.527004e-03       1.173811e-02       1.031642e-01       1.930470e-02       5.353074e-02
         320       2.350291e-02       4.028460e-03       1.408534e-02       1.281653e-01       2.626548e-02       5.282085e-02
         330       3.091386e-02       2.058709e-03       1.596894e-02       1.509700e-01       1.808304e-02       4.956846e-02
         340       2.842597e-02       2.389291e-03       1.395118e-02       1.167276e-01       2.408092e-02       4.759137e-02
         350       1.850019e-02       3.610305e-03       1.080064e-02       8.582630e-02       2.116441e-02       4.959690e-02
         360       1.603988e-02       3.842849e-03       9.766499e-03       8.979481e-02       2.425864e-02       5.261554e-02
         370       1.728649e-02       3.668997e-03       1.055614e-02       1.096756e-01       2.424672e-02       5.428321e-02
         380       1.411066e-02       1.892811e-03       8.648088e-03       1.111050e-01       2.146951e-02       5.717756e-02
