#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.57e+01    2.16e+01      7.44e-01    1.24e+00      4.96e-01    6.82e-01    2.0e-03
   2000      4.14e+00    1.03e+01      2.81e-01    6.22e-02      1.36e-01    3.45e-01    1.8e-03
   4000      3.09e+00    8.52e+00      2.46e-01    5.08e-02      1.05e-01    3.04e-01    1.6e-03
   6000      2.72e+00    6.87e+00      2.77e-01    2.46e-01      9.17e-02    2.57e-01    1.4e-03
   8000      2.43e+00    8.03e+00      3.18e-01    8.26e-03      7.38e-02    3.24e-01    1.2e-03
  10000      1.91e+00    7.09e+00      2.68e-01    1.42e-02      5.23e-02    3.04e-01    1.1e-03
  12000      1.58e+00    2.27e+00      1.94e-01    2.04e-01      5.01e-02    8.81e-02    9.6e-04
  14000      1.72e+00    5.58e+00      2.37e-01    2.28e-02      4.44e-02    2.70e-01    8.5e-04
  16000      1.65e+00    2.22e+00      1.75e-01    1.71e-01      6.24e-02    9.95e-02    7.5e-04
  18000      1.02e+00    2.00e+00      8.69e-02    9.87e-02      4.66e-02    1.03e-01    6.7e-04
  20000      1.78e+00    4.65e+00      2.41e-01    9.13e-03      4.14e-02    2.71e-01    5.9e-04
  22000      1.44e+00    4.77e+00      1.61e-01    5.98e-02      5.60e-02    2.94e-01    5.2e-04
  24000      1.39e+00    3.86e+00      1.61e-01    1.05e-02      5.26e-02    2.53e-01    4.6e-04
  26000      1.49e+00    3.75e+00      1.89e-01    1.40e-02      4.40e-02    2.62e-01    4.1e-04
  28000      1.10e+00    4.09e+00      1.32e-01    4.55e-03      4.03e-02    3.03e-01    3.6e-04
  30000      9.71e-01    3.70e+00      1.09e-01    1.59e-02      4.31e-02    2.92e-01    3.2e-04
  32000      6.32e-01    4.17e+00      5.35e-02    6.87e-02      4.12e-02    3.46e-01    2.8e-04
  34000      6.40e-01    2.60e-01      2.77e-02    2.96e-02      5.38e-02    1.21e-02    2.5e-04
  36000      9.05e-01    3.20e+00      9.90e-02    1.24e-03      4.82e-02    3.02e-01    2.2e-04
  38000      9.70e-01    2.50e+00      1.18e-01    1.92e-02      3.62e-02    2.51e-01    2.0e-04
  40000      7.13e-01    2.61e+00      5.69e-02    8.79e-03      6.02e-02    2.79e-01    1.7e-04
  42000      5.31e-01    2.20e+00      3.23e-02    1.24e-02      5.31e-02    2.49e-01    1.5e-04
  44000      5.60e-01    2.25e+00      5.92e-02    1.65e-02      3.89e-02    2.70e-01    1.4e-04
  46000      7.49e-01    2.23e+00      8.60e-02    1.91e-02      4.34e-02    2.84e-01    1.2e-04
  48000      3.73e-01    2.55e+00      3.02e-02    6.83e-02      3.92e-02    3.38e-01    1.1e-04
  50000      4.77e-01    1.96e+00      4.77e-02    1.42e-02      4.29e-02    2.81e-01    9.5e-05
  52000      4.47e-01    2.31e+00      3.93e-02    2.98e-02      4.96e-02    3.52e-01    8.4e-05
  54000      3.52e-01    1.50e+00      3.08e-02    4.20e-02      4.15e-02    2.38e-01    7.4e-05
  56000      3.47e-01    1.66e+00      2.72e-02    4.51e-02      4.71e-02    2.79e-01    6.6e-05
