#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  58000      2.85e-01    1.80e+00      1.86e-02    4.67e-03      4.47e-02    3.29e-01    5.8e-05
  60000      3.19e-01    1.41e+00      1.98e-02    3.19e-02      5.38e-02    2.69e-01    5.1e-05
  62000      2.34e-01    1.26e+00      1.17e-02    2.45e-02      4.41e-02    2.55e-01    4.5e-05
  64000      3.21e-01    1.46e+00      2.45e-02    2.25e-02      5.55e-02    3.16e-01    4.0e-05
  66000      2.72e-01    4.66e-01      2.41e-02    2.60e-02      4.48e-02    9.64e-02    3.6e-05
  68000      1.77e-01    1.17e+00      7.88e-03    9.42e-03      4.04e-02    2.84e-01    3.2e-05
  70000      1.95e-01    1.01e+00      8.47e-03    2.09e-03      4.74e-02    2.63e-01    2.8e-05
  72000      2.03e-01    1.18e+00      1.36e-02    6.64e-03      4.72e-02    3.22e-01    2.5e-05
  74000      1.96e-01    9.86e-01      1.15e-02    1.00e-02      5.02e-02    2.85e-01    2.2e-05
  76000      1.61e-01    8.98e-01      6.68e-03    6.21e-03      4.66e-02    2.75e-01    1.9e-05
  78000      1.53e-01    9.46e-01      6.63e-03    2.24e-02      4.64e-02    3.01e-01    1.7e-05
  80000      1.65e-01    8.18e-01      2.60e-03    2.44e-02      5.60e-02    2.71e-01    1.5e-05
  82000      1.57e-01    8.23e-01      9.87e-03    1.13e-03      4.90e-02    2.97e-01    1.3e-05
  84000      1.61e-01    6.49e-01      6.63e-03    3.35e-03      5.78e-02    2.46e-01    1.2e-05
  86000      1.17e-01    3.69e-02      5.62e-05    1.27e-03      4.70e-02    1.42e-02    1.1e-05
  88000      1.17e-01    7.05e-01      6.20e-03    2.76e-02      4.46e-02    2.82e-01    9.3e-06
  90000      1.12e-01    5.81e-01      1.64e-04    1.05e-02      4.96e-02    2.54e-01    8.2e-06
  92000      1.34e-01    7.22e-01      1.23e-03    7.56e-04      6.22e-02    3.35e-01    7.3e-06
  94000      9.75e-02    5.91e-01      5.52e-03    1.17e-02      4.23e-02    2.84e-01    6.4e-06
  96000      1.07e-01    6.22e-01      5.62e-03    2.50e-02      4.97e-02    3.00e-01    5.7e-06
  98000      9.71e-02    5.02e-01      4.22e-03    1.18e-02      4.85e-02    2.63e-01    5.1e-06
 100000      1.23e-01    5.07e-01      6.09e-03    3.47e-03      6.25e-02    2.82e-01    4.5e-06
 102000      9.27e-02    5.30e-01      3.61e-03    1.61e-02      5.11e-02    2.98e-01    4.0e-06
 104000      8.09e-02    5.09e-01      4.03e-04    1.20e-02      4.87e-02    3.01e-01    3.5e-06
 106000      8.49e-02    4.42e-01      3.40e-03    2.67e-03      5.04e-02    2.77e-01    3.1e-06
 108000      8.91e-02    2.58e-01      5.13e-04    2.86e-03      5.78e-02    1.67e-01    2.7e-06
 110000      8.32e-02    4.36e-01      3.00e-03    2.02e-03      5.36e-02    2.93e-01    2.4e-06
 112000      9.11e-02    4.93e-01      4.43e-03    1.66e-02      5.83e-02    3.29e-01    2.2e-06
 114000      6.28e-02    4.63e-01      1.81e-05    5.32e-03      4.50e-02    3.30e-01    1.9e-06
 116000      6.33e-02    4.27e-01      1.09e-03    1.12e-02      4.62e-02    3.07e-01    1.7e-06
 118000      6.58e-02    4.71e-01      8.70e-05    3.17e-02      4.98e-02    3.01e-01    1.5e-06
 120000      6.27e-02    4.15e-01      3.95e-04    2.40e-03      4.86e-02    3.22e-01    1.3e-06
 122000      5.57e-02    3.79e-01      8.32e-05    2.96e-03      4.43e-02    3.01e-01    1.2e-06
 124000      6.60e-02    3.96e-01      2.77e-03    1.82e-02      5.05e-02    2.99e-01    1.0e-06
 126000      7.40e-02    3.91e-01      3.17e-03    1.44e-02      5.76e-02    3.09e-01    9.1e-07
 128000      5.42e-02    4.32e-01      2.48e-03    3.06e-02      4.26e-02    3.00e-01    8.1e-07
 130000      6.66e-02    2.66e-01      1.10e-03    6.72e-03      5.67e-02    2.24e-01    7.2e-07
 132000      4.60e-02    3.53e-01      7.87e-04    1.44e-02      3.97e-02    2.91e-01    6.3e-07
 134000      6.60e-02    3.23e-01      2.57e-03    1.30e-02      5.54e-02    2.70e-01    5.6e-07
 136000      5.29e-02    3.21e-01      2.54e-04    1.32e-03      4.73e-02    2.87e-01    5.0e-07
 138000      4.60e-02    3.61e-01      1.68e-03    5.87e-03      3.98e-02    3.24e-01    4.4e-07
 140000      5.88e-02    3.09e-01      1.50e-03    2.83e-03      5.27e-02    2.82e-01    3.9e-07
 142000      5.87e-02    3.53e-01      2.57e-03    9.50e-03      5.08e-02    3.18e-01    3.4e-07
 144000      5.67e-02    3.01e-01      9.45e-04    6.59e-03      5.23e-02    2.76e-01    3.0e-07
 146000      5.62e-02    3.59e-01      2.95e-03    1.36e-02      4.79e-02    3.22e-01    2.7e-07
 148000      6.49e-02    3.75e-01      1.16e-03    2.15e-02      6.07e-02    3.15e-01    2.4e-07
 150000      6.14e-02    3.57e-01      2.47e-03    2.43e-02      5.52e-02    2.85e-01    2.1e-07
 152000      6.68e-02    3.34e-01      1.20e-03    1.87e-02      6.32e-02    2.85e-01    1.9e-07
 154000      5.48e-02    1.96e-01      6.99e-04    4.20e-03      5.24e-02    1.85e-01    1.7e-07
 156000      4.91e-02    3.76e-01      4.15e-04    2.88e-02      4.73e-02    2.87e-01    1.5e-07
 158000      6.25e-02    9.73e-02      3.19e-03    2.31e-03      5.53e-02    9.26e-02    1.3e-07
 160000      6.01e-02    4.88e-01      1.52e-03    4.66e-02      5.72e-02    3.06e-01    1.1e-07
 162000      5.32e-02    3.48e-01      1.44e-03    2.01e-02      5.07e-02    3.01e-01    1.0e-07
 164000      5.11e-02    3.12e-01      7.92e-05    1.37e-02      4.99e-02    2.86e-01    9.0e-08
 166000      4.92e-02    3.25e-01      1.57e-04    1.82e-02      4.82e-02    2.86e-01    8.0e-08
 168000      6.27e-02    2.84e-01      3.07e-03    3.98e-03      5.67e-02    2.77e-01    7.0e-08
 170000      5.05e-02    4.48e-01      2.11e-03    4.17e-02      4.69e-02    2.94e-01    6.2e-08
 172000      5.16e-02    3.26e-01      1.94e-03    1.54e-02      4.85e-02    2.97e-01    5.5e-08
 174000      6.27e-02    3.61e-01      5.94e-03    2.03e-02      4.05e-02    3.18e-01    4.9e-08
 176000      4.48e-02    2.93e-01      2.33e-04    1.02e-03      4.43e-02    2.90e-01    4.3e-08
 178000      4.78e-02    3.56e-01      2.32e-04    1.62e-02      4.73e-02    3.29e-01    3.8e-08
 180000      4.97e-02    3.27e-01      2.25e-03    1.93e-02      4.60e-02    2.86e-01    3.4e-08
 182000      6.14e-02    2.95e-01      2.67e-03    1.37e-02      5.71e-02    2.72e-01    3.0e-08
 184000      4.47e-02    3.32e-01      1.59e-03    1.34e-02      4.26e-02    3.13e-01    2.7e-08
 186000      5.37e-02    3.25e-01      1.28e-03    8.83e-03      5.24e-02    3.15e-01    2.4e-08
 188000      6.07e-02    3.26e-01      2.80e-03    1.01e-02      5.61e-02    3.14e-01    2.1e-08
 190000      4.62e-02    2.87e-01      1.26e-03    1.72e-02      4.49e-02    2.51e-01    1.8e-08
 192000      4.80e-02    2.76e-01      1.02e-03    7.13e-03      4.71e-02    2.69e-01    1.6e-08
 194000      4.38e-02    3.21e-01      5.30e-04    1.46e-02      4.34e-02    2.98e-01    1.4e-08
 196000      4.98e-02    4.06e-01      3.71e-04    3.87e-02      4.96e-02    2.62e-01    1.3e-08
 198000      5.13e-02    3.12e-01      2.64e-03    1.67e-02      4.66e-02    2.81e-01    1.1e-08
 200000      5.78e-02    3.37e-01      8.21e-04    1.52e-02      5.73e-02    3.14e-01    1.0e-08
