#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.947623e-02       2.872493e-03       9.553280e-03       1.276546e-01       1.907862e-02       4.646986e-02
          10       1.570097e-02       2.218355e-03       7.829006e-03       8.755660e-02       1.760985e-02       4.545252e-02
          20       1.407592e-02       2.801875e-03       7.678928e-03       7.867399e-02       2.025441e-02       4.346796e-02
          30       1.289119e-02       1.647761e-03       7.762280e-03       9.269790e-02       1.826709e-02       4.420588e-02
          40       1.367516e-02       1.744759e-03       7.655344e-03       1.051671e-01       1.776363e-02       4.625964e-02
          50       1.558047e-02       1.644517e-03       8.158702e-03       7.555290e-02       1.977937e-02       4.411280e-02
          60       1.833930e-02       1.842446e-03       1.051221e-02       1.534157e-01       1.915782e-02       4.856573e-02
          70       2.368319e-02       4.444430e-03       1.342468e-02       1.869010e-01       2.062495e-02       5.743025e-02
          80       1.895498e-02       2.593901e-03       1.175439e-02       1.734070e-01       1.889225e-02       5.611262e-02
          90       1.718086e-02       3.239858e-03       1.024464e-02       1.599648e-01       2.196529e-02       5.420029e-02
         100       1.178053e-02       2.615680e-03       6.364030e-03       1.373327e-01       1.530349e-02       5.672178e-02
         110       9.958169e-03       3.020442e-03       6.024507e-03       1.276852e-01       1.601075e-02       5.186971e-02
         120       1.562853e-02       4.266998e-03       8.235386e-03       8.588836e-02       1.104306e-02       4.830856e-02
         130       2.001612e-02       3.678301e-03       9.620426e-03       8.692800e-02       2.360578e-02       5.106409e-02
         140       1.562062e-02       3.578544e-03       8.509877e-03       1.023150e-01       1.516339e-02       5.282996e-02
         150       1.780613e-02       3.267022e-03       9.774197e-03       1.008927e-01       1.930525e-02       5.451884e-02
         160       1.573897e-02       1.874129e-03       8.937707e-03       1.095468e-01       2.230100e-02       5.616766e-02
         170       1.756802e-02       3.058945e-03       1.050564e-02       1.238997e-01       2.409092e-02       5.824329e-02
         180       1.685581e-02       2.430386e-03       9.461629e-03       1.223240e-01       2.792102e-02       5.777254e-02
         190       1.874132e-02       2.419538e-03       9.137988e-03       1.572592e-01       2.199684e-02       5.997694e-02
         200       2.197637e-02       3.194079e-03       1.051890e-02       1.619512e-01       2.209618e-02       7.015055e-02
         210       2.713214e-02       1.985224e-03       1.430767e-02       2.203225e-01       3.192613e-02       7.405999e-02
         220       3.106047e-02       4.039207e-03       1.504312e-02       2.199449e-01       2.887877e-02       7.258028e-02
         230       2.974960e-02       3.458589e-03       1.394985e-02       3.245424e-01       2.989392e-02       8.100029e-02
         240       3.057862e-02       9.186247e-04       1.711006e-02       2.321181e-01       2.667107e-02       8.450355e-02
         250       4.540799e-02       3.025340e-03       2.325168e-02       2.532802e-01       3.017507e-02       9.449703e-02
         260       4.715863e-02       5.983960e-03       2.469027e-02       2.617718e-01       2.374216e-02       9.261513e-02
         270       5.260499e-02       3.062644e-03       2.639731e-02       2.961405e-01       3.100380e-02       9.931943e-02
         280       5.514085e-02       3.661207e-03       2.794127e-02       4.823450e-01       3.182563e-02       1.107481e-01
         290       4.782329e-02       4.461339e-03       2.691461e-02       3.446366e-01       2.668759e-02       1.056820e-01
         300       4.231314e-02       1.328671e-03       2.406644e-02       4.488182e-01       3.852303e-02       9.727249e-02
         310       2.980829e-02       3.333449e-03       1.617279e-02       2.482894e-01       3.216189e-02       8.125255e-02
         320       3.677883e-02       4.493722e-03       1.988023e-02       2.191952e-01       3.480128e-02       7.994241e-02
         330       4.941840e-02       2.543225e-03       2.690349e-02       2.367179e-01       2.772755e-02       8.453995e-02
         340       4.901625e-02       2.112794e-03       2.702024e-02       1.930310e-01       3.692719e-02       8.198329e-02
         350       3.911195e-02       3.835025e-03       2.100347e-02       1.623910e-01       3.231859e-02       7.415239e-02
         360       3.334408e-02       1.667809e-03       1.773505e-02       1.480099e-01       2.839109e-02       7.188092e-02
         370       3.246173e-02       1.824049e-03       1.796904e-02       1.808231e-01       2.170566e-02       7.092026e-02
         380       2.952574e-02       2.115246e-03       1.688866e-02       2.130818e-01       2.267671e-02       6.925670e-02
         390       2.721928e-02       3.759988e-03       1.452194e-02       1.860486e-01       2.167083e-02       6.367263e-02
         400       2.528755e-02       3.253062e-03       1.204842e-02       1.420017e-01       2.015495e-02       5.961690e-02
         410       2.116420e-02       2.561999e-03       1.064672e-02       1.152569e-01       2.627893e-02       5.614883e-02
         420       8.413260e-03       2.084942e-03       5.356621e-03       8.308631e-02       2.091516e-02       5.129966e-02
         430       1.032369e-02       8.994033e-04       6.291326e-03       8.289280e-02       1.932817e-02       4.849709e-02
         440       1.793097e-02       2.329276e-03       9.712937e-03       8.621572e-02       2.446125e-02       5.092565e-02
         450       1.888062e-02       2.812708e-03       9.915103e-03       1.178872e-01       2.300973e-02       5.136302e-02
         460       1.455958e-02       1.956932e-03       8.205797e-03       1.038744e-01       2.380174e-02       4.948879e-02
         470       1.310418e-02       3.752744e-03       8.118421e-03       1.584138e-01       2.189972e-02       5.413559e-02
         480       1.575658e-02       3.229270e-03       8.417052e-03       1.809786e-01       2.052153e-02       5.813015e-02
         490       1.788284e-02       2.791790e-03       9.696080e-03       1.018325e-01       2.316261e-02       5.427676e-02
         500       1.125592e-02       6.440420e-04       6.063077e-03       1.096811e-01       1.948485e-02       5.108536e-02
         510       9.496646e-03       2.431890e-03       4.577143e-03       1.244285e-01       2.080625e-02       4.873238e-02
         520       7.544892e-03       1.976149e-03       3.831657e-03       1.281740e-01       2.180433e-02       5.097130e-02
         530       1.814636e-02       7.639980e-04       8.588652e-03       1.108323e-01       2.519062e-02       5.310655e-02
         540       2.256620e-02       2.979194e-03       1.177735e-02       1.968271e-01       2.026473e-02       5.880718e-02
         550       2.526820e-02       1.408352e-03       1.299777e-02       1.599511e-01       2.086894e-02       5.623844e-02
         560       2.022863e-02       1.137698e-03       1.084507e-02       1.307988e-01       2.557222e-02       4.951892e-02
         570       1.556525e-02       2.701557e-03       7.902814e-03       1.241559e-01       1.661233e-02       4.813549e-02
         580       1.219667e-02       2.903255e-03       6.049038e-03       1.536853e-01       2.333453e-02       5.066742e-02
         590       1.101899e-02       1.805783e-03       6.037927e-03       9.614485e-02       2.430387e-02       4.722393e-02
         600       2.039495e-02       1.655708e-03       1.205506e-02       1.112057e-01       2.088799e-02       4.847995e-02
         610       2.853471e-02       5.614478e-04       1.585649e-02       1.037614e-01       2.620539e-02       4.976379e-02
         620       2.293111e-02       2.654206e-03       1.216382e-02       9.634348e-02       1.620051e-02       4.962177e-02
         630       2.182418e-02       3.072074e-03       1.069310e-02       8.686790e-02       2.045793e-02       4.888643e-02
         640       2.468990e-02       1.999859e-03       1.303353e-02       1.633636e-01       2.415068e-02       5.002744e-02
         650       2.276724e-02       7.704310e-04       1.244390e-02       2.545250e-01       1.927847e-02       5.571224e-02
         660       1.817428e-02       1.738107e-03       9.646572e-03       1.997709e-01       2.094614e-02       5.577461e-02
         670       1.313159e-02       1.677197e-03       7.797107e-03       1.687340e-01       2.396977e-02       5.624890e-02
         680       8.200462e-03       2.283823e-03       5.150660e-03       1.265902e-01       1.357653e-02       5.654846e-02
         690       8.052581e-03       2.079262e-03       4.599099e-03       1.073607e-01       2.564553e-02       5.297157e-02
         700       1.021493e-02       1.733310e-03       5.423882e-03       9.569633e-02       2.270718e-02       5.243728e-02
         710       1.742005e-02       2.218544e-03       8.693057e-03       1.057814e-01       2.181467e-02       5.374451e-02
         720       1.594493e-02       3.455168e-03       9.441778e-03       1.206133e-01       2.541626e-02       5.393073e-02
         730       1.785517e-02       3.664775e-03       1.003443e-02       1.054210e-01       2.713142e-02       5.404398e-02
         740       1.698051e-02       3.120017e-03       9.574212e-03       9.518555e-02       2.944615e-02       5.216347e-02
         750       2.589937e-02       1.826478e-03       1.316074e-02       1.185669e-01       2.505239e-02       5.497911e-02
         760       2.447731e-02       1.276487e-03       1.192628e-02       2.084846e-01       2.089542e-02       5.788674e-02
         770       1.350022e-02       2.404354e-03       7.273361e-03       1.618861e-01       2.671748e-02       5.174895e-02
         780       1.624519e-02       4.107132e-03       9.466873e-03       9.817303e-02       2.121793e-02       5.299535e-02
         790       1.148449e-02       4.666117e-03       8.251377e-03       1.549780e-01       1.490638e-02       5.577973e-02
         800       2.168225e-02       4.711459e-03       1.176108e-02       2.842925e-01       1.543747e-02       6.308238e-02
         810       2.207428e-02       3.008211e-03       1.295864e-02       1.863556e-01       1.691281e-02       6.651110e-02
         820       2.223959e-02       1.398789e-03       1.111264e-02       1.725828e-01       3.000509e-02       6.554019e-02
         830       2.463031e-02       3.806585e-03       1.254877e-02       1.522635e-01       2.768398e-02       6.043107e-02
         840       2.215084e-02       4.922050e-03       1.201021e-02       1.797728e-01       1.788676e-02       6.101907e-02
         850       2.554010e-02       4.643753e-03       1.407454e-02       1.611757e-01       2.485307e-02       6.678768e-02
         860       3.711337e-02       2.867541e-03       1.837404e-02       2.260669e-01       3.076217e-02       7.680199e-02
         870       3.618741e-02       4.925287e-03       1.729918e-02       1.943918e-01       2.879954e-02       7.839269e-02
         880       2.685747e-02       2.336070e-03       1.266727e-02       1.438960e-01       3.249794e-02       7.281887e-02
         890       2.042539e-02       3.155655e-03       1.070760e-02       1.440615e-01       2.930891e-02       7.351823e-02
         900       2.088767e-02       2.997960e-03       9.645722e-03       1.718388e-01       2.751484e-02       6.834411e-02
         910       3.084331e-02       3.191053e-03       1.566436e-02       2.016265e-01       2.014011e-02       6.715348e-02
         920       2.946262e-02       3.521002e-03       1.585406e-02       2.088780e-01       1.945521e-02       6.972043e-02
         930       2.757337e-02       1.341229e-03       1.415961e-02       2.400201e-01       2.498322e-02       7.368861e-02
         940       2.249946e-02       1.298404e-03       1.206755e-02       2.684673e-01       2.282847e-02       6.861070e-02
         950       2.098817e-02       3.514693e-03       1.149281e-02       1.975677e-01       2.899248e-02       6.733427e-02
         960       3.378256e-02       1.713480e-03       1.849342e-02       3.069390e-01       3.266589e-02       7.444427e-02
         970       5.573798e-02       2.339803e-03       2.867404e-02       3.599983e-01       2.992831e-02       8.592690e-02
         980       6.202395e-02       6.971413e-03       3.261712e-02       2.806686e-01       3.206807e-02       8.907372e-02
         990       5.918406e-02       6.933164e-03       3.103646e-02       4.181924e-01       2.907319e-02       9.528396e-02
