#step enthalpy vol
0 -6826.7167300147220885 1196.793933252640727
10 -6822.0763473198994689 1196.4869879001246318
20 -6811.2462911669381356 1195.7228596384447883
30 -6801.8560262461123784 1194.8588234287753949
40 -6795.0150494815652564 1194.2422862594321487
50 -6792.6326289852459013 1194.1183737812050367
60 -6788.4361751502310653 1194.6184354602441999
70 -6782.4100938937544925 1195.8994234543215498
80 -6777.1476609738265324 1198.192461499255387
90 -6780.1792152983425694 1201.6679788248916338
100 -6780.4046418975867709 1206.2894908976140869
110 -6778.7443243540892581 1212.0261726486373846
120 -6776.3372495609728503 1218.9543332287528301
130 -6773.6405507280060192 1227.2079150745621519
140 -6775.6173602879425744 1236.8931473873089999
150 -6779.3915920487934272 1247.9710941887744866
160 -6782.7441130400175098 1260.2917347118420821
170 -6783.1952658104582952 1273.7332051435332687
180 -6779.1824380047910381 1288.323614619151158
190 -6779.0009181784544126 1304.1785298334061736
200 -6783.1748473561910941 1321.3026981728839928
210 -6796.1260931495417026 1339.4445935043390818
220 -6813.4620009533864504 1357.999610367612604
230 -6822.9089121652878021 1376.1785061024650076
240 -6817.8177552700044544 1393.510735637675225
250 -6813.3481746629659028 1410.088081712216308
260 -6812.9741367500582783 1426.058881506625994
270 -6811.3863834930962184 1441.3964593591231278
280 -6812.9920956350533743 1456.1270412028277406
290 -6821.8711306259310732 1470.1534339799845839
300 -6825.5690292488889099 1483.1080163842307229
310 -6832.7533372739353581 1494.7837206774142942
320 -6831.0286081232889046 1504.9756195963177561
330 -6829.404058808485388 1513.6807124944152747
340 -6829.566155540715954 1521.0522783746159803
350 -6822.6420231836518724 1527.2503972617332693
360 -6818.2021461008616825 1532.6218100628857428
370 -6823.2639589848004107 1537.3472003051324464
380 -6823.1213338048019068 1541.3378342611831613
390 -6823.1093994593475145 1544.6541615156897933
400 -6821.5029093169005137 1547.299811968228596
410 -6806.4393517524749768 1549.4432854863512148
420 -6795.1898478452367272 1551.7465450094475727
430 -6812.2804058617375631 1554.5761758318205921
440 -6832.0878376686723641 1557.1840488453001399
450 -6839.7448012305567318 1558.727171051506275
460 -6841.8900661216193839 1558.8654423714738186
470 -6832.9346409543513801 1557.6275591443795747
480 -6816.8409223358521558 1555.4372303867619394
490 -6793.0957056380657377 1553.0769976112867425
500 -6788.5373431178104511 1551.5888708199365738
510 -6805.4240336686416413 1551.1658204781949735
520 -6809.6705412323944984 1551.1557049055497828
530 -6807.1106542061688742 1551.2690783566613391
540 -6809.4654485295468476 1551.5483409203775409
550 -6825.7935203567576536 1551.8481639626086235
560 -6840.514831896677606 1551.4508324057169375
570 -6836.9478732583529563 1549.754248120366583
580 -6836.1691084554577174 1546.8376054309446772
590 -6831.2448038442680627 1542.8463492439334459
600 -6829.1101379854690094 1538.0078893975096435
610 -6828.2757418946830512 1532.5147240567034714
620 -6823.1593567667814568 1526.5129755449343065
630 -6819.6301015782664763 1520.2167696390620222
640 -6815.8543753461208325 1513.8055647119524565
650 -6802.8204588209700887 1507.5538285747009013
660 -6785.6182720563710973 1502.0457179503027874
670 -6769.5053054234040246 1498.0225973579658785
680 -6757.7507770851425448 1496.1811812758371616
690 -6767.5238970184973368 1496.9535364570988349
700 -6789.0374663829461497 1499.9499800701801178
710 -6810.6817355704715737 1504.2165317129463347
720 -6828.1193670420143462 1508.7526078330063228
730 -6826.9331594459436019 1512.8299365395905625
740 -6813.6609839071179522 1516.5053927031431158
750 -6800.3359994524525973 1520.3921609408218956
760 -6805.0700735942591564 1525.0351880739731314
770 -6807.6260404982431282 1530.3796523546484423
780 -6815.0423787347572215 1536.2328669447194898
790 -6833.1716526172021986 1542.1683279215717448
800 -6844.3955628777803213 1547.4274809417686356
810 -6852.4197908617070425 1551.4704371232085123
820 -6857.7145162879551208 1553.9574523958165173
830 -6852.7394528249778887 1554.677936532029662
840 -6845.6617939596226279 1553.8227326709591125
850 -6832.0031725010649097 1551.7983085122896227
860 -6825.7742383326831259 1549.2089595540003302
870 -6821.6326283412427074 1546.3871409109051456
880 -6812.455724233129331 1543.6111181232276977
890 -6808.7515807780046089 1541.3050525044575352
900 -6803.8596645968791563 1539.658141516064461
910 -6800.3478040666605011 1538.8414285363228373
920 -6797.3146216455952526 1539.0542784612223386
930 -6805.0820755006861873 1540.3437580776965206
940 -6817.5647803305992056 1542.3489140919884903
950 -6817.4042542768256681 1544.5652413852881182
960 -6809.9898672505623836 1546.9900069065704429
970 -6816.9314058442123496 1549.8683265684765047
980 -6834.6998116191280133 1552.874777741802518
990 -6854.8747997593036416 1555.1716443932054972
1000 -6869.3025474338019194 1555.8325398558461075
