#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      4.53e+00    9.76e+00      6.74e-03    8.64e-03      1.43e-01    3.09e-01    2.0e-03
   2000      4.76e+00    2.14e+00      9.25e-02    8.67e-02      1.70e-01    7.55e-02    1.6e-03
   4000      5.89e+00    6.44e+00      1.69e-01    5.13e-02      2.35e-01    2.60e-01    1.2e-03
   6000      3.84e+00    6.22e+00      1.44e-01    1.25e-02      1.71e-01    2.84e-01    9.6e-04
   8000      3.13e+00    8.77e-01      1.22e-01    1.24e-01      1.56e-01    1.96e-02    7.5e-04
  10000      3.33e+00    1.14e+00      2.12e-01    1.15e-01      1.75e-01    4.87e-02    5.9e-04
  12000      2.45e+00    3.91e+00      8.50e-02    2.37e-02      1.56e-01    2.56e-01    4.6e-04
  14000      1.90e+00    3.46e+00      7.75e-02    5.78e-03      1.35e-01    2.56e-01    3.6e-04
  16000      1.93e+00    3.66e+00      8.49e-02    5.65e-02      1.53e-01    3.05e-01    2.8e-04
  18000      1.77e+00    3.17e+00      8.77e-02    2.99e-02      1.55e-01    2.99e-01    2.2e-04
  20000      1.50e+00    2.39e+00      1.04e-01    3.15e-02      1.36e-01    2.54e-01    1.7e-04
  22000      1.54e+00    6.70e-01      6.61e-02    3.95e-02      1.75e-01    7.18e-02    1.4e-04
  24000      1.24e+00    2.38e+00      2.43e-02    3.04e-02      1.67e-01    3.21e-01    1.1e-04
  26000      1.15e+00    1.96e+00      8.15e-03    7.43e-02      1.75e-01    2.86e-01    8.4e-05
  28000      1.14e+00    1.67e-01      2.71e-02    1.81e-02      1.92e-01    1.51e-02    6.6e-05
  30000      7.43e-01    1.75e+00      1.15e-02    1.29e-02      1.43e-01    3.39e-01    5.1e-05
  32000      7.63e-01    1.34e+00      4.27e-02    1.96e-02      1.49e-01    2.89e-01    4.0e-05
  34000      8.50e-01    6.89e-01      1.27e-02    3.65e-02      2.06e-01    1.53e-01    3.2e-05
  36000      5.39e-01    1.21e+00      3.93e-03    3.60e-02      1.47e-01    3.22e-01    2.5e-05
  38000      7.14e-01    1.62e-01      2.15e-02    1.10e-02      2.12e-01    4.18e-02    1.9e-05
  40000      5.30e-01    5.78e-01      2.59e-03    7.84e-03      1.81e-01    1.96e-01    1.5e-05
  42000      5.87e-01    7.10e-02      5.09e-02    6.06e-03      1.61e-01    1.98e-02    1.2e-05
  44000      4.28e-01    9.45e-02      1.36e-02    2.05e-03      1.74e-01    3.92e-02    9.3e-06
  46000      3.91e-01    1.58e-01      2.44e-02    3.83e-03      1.57e-01    7.19e-02    7.3e-06
  48000      3.24e-01    5.75e-01      4.40e-03    1.96e-02      1.64e-01    2.82e-01    5.7e-06
  50000      4.01e-01    5.00e-01      3.31e-02    1.32e-03      1.67e-01    2.78e-01    4.5e-06
  52000      2.89e-01    5.12e-01      1.10e-02    7.29e-03      1.66e-01    3.07e-01    3.5e-06
  54000      2.76e-01    5.63e-01      2.86e-03    3.90e-02      1.79e-01    3.05e-01    2.7e-06
  56000      2.19e-01    6.21e-02      3.97e-03    7.80e-04      1.50e-01    4.29e-02    2.2e-06
  58000      3.15e-01    1.90e-02      2.47e-02    1.04e-03      1.80e-01    1.26e-02    1.7e-06
  60000      2.61e-01    4.04e-01      1.04e-02    2.12e-02      1.92e-01    2.85e-01    1.3e-06
  62000      1.81e-01    3.72e-01      6.35e-03    2.83e-03      1.41e-01    3.01e-01    1.0e-06
  64000      1.84e-01    2.23e-02      1.04e-03    1.08e-03      1.55e-01    1.74e-02    8.1e-07
  66000      3.15e-01    2.33e-02      2.96e-02    1.67e-03      1.81e-01    1.66e-02    6.3e-07
  68000      2.69e-01    2.81e-02      1.08e-02    2.55e-03      2.28e-01    1.74e-02    5.0e-07
  70000      1.88e-01    2.73e-02      1.09e-03    2.57e-03      1.72e-01    1.64e-02    3.9e-07
  72000      2.16e-01    3.45e-01      1.77e-02    1.21e-02      1.53e-01    3.09e-01    3.0e-07
  74000      2.02e-01    3.21e-01      3.29e-03    1.09e-02      1.90e-01    2.92e-01    2.4e-07
  76000      1.92e-01    4.00e-01      4.03e-03    3.72e-02      1.81e-01    2.55e-01    1.9e-07
  78000      1.79e-01    2.94e-01      1.17e-02    4.65e-04      1.47e-01    2.84e-01    1.5e-07
  80000      2.23e-01    1.54e-01      6.17e-03    2.15e-03      2.11e-01    1.49e-01    1.1e-07
  82000      1.53e-01    3.40e-01      7.70e-03    5.34e-03      1.37e-01    3.30e-01    9.0e-08
  84000      1.57e-01    2.22e-01      9.87e-03    1.89e-03      1.33e-01    2.17e-01    7.0e-08
  86000      1.71e-01    2.56e-02      1.54e-03    2.42e-03      1.68e-01    1.66e-02    5.5e-08
  88000      1.71e-01    3.28e-01      1.58e-04    1.48e-02      1.70e-01    3.03e-01    4.3e-08
  90000      1.48e-01    3.19e-01      2.97e-03    2.76e-03      1.45e-01    3.15e-01    3.4e-08
  92000      1.82e-01    4.80e-01      7.88e-03    4.67e-02      1.70e-01    3.00e-01    2.7e-08
  94000      2.45e-01    2.92e-01      1.43e-02    1.12e-02      2.15e-01    2.77e-01    2.1e-08
  96000      1.45e-01    6.58e-02      1.30e-03    4.50e-03      1.44e-01    5.48e-02    1.6e-08
  98000      1.64e-01    7.76e-02      6.30e-03    2.54e-03      1.55e-01    7.47e-02    1.3e-08
 100000      2.25e-01    2.68e-01      1.98e-02    9.30e-05      1.60e-01    2.67e-01    1.0e-08
