#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.12e+01    1.55e+01      1.37e+00    1.19e+00      1.94e+00    4.88e-01    2.0e-03
   2000      9.56e+00    8.57e+00      5.08e-02    9.11e-02      3.41e-01    3.06e-01    1.6e-03
   4000      7.33e+00    7.67e+00      7.30e-02    1.38e-01      2.95e-01    3.08e-01    1.2e-03
   6000      7.05e+00    6.68e+00      1.02e-02    2.71e-02      3.22e-01    3.04e-01    9.6e-04
   8000      4.08e+00    5.06e+00      5.45e-02    1.43e-02      2.09e-01    2.60e-01    7.5e-04
  10000      3.26e+00    1.45e+00      2.71e-02    2.09e-02      1.89e-01    8.41e-02    5.9e-04
  12000      2.56e+00    4.43e+00      5.38e-02    7.33e-02      1.66e-01    2.89e-01    4.6e-04
  14000      2.94e+00    3.74e+00      5.37e-02    6.33e-03      2.16e-01    2.78e-01    3.6e-04
  16000      1.87e+00    3.61e+00      5.11e-02    4.27e-02      1.53e-01    3.01e-01    2.8e-04
  18000      1.72e+00    2.07e+00      1.62e-02    1.72e-02      1.62e-01    1.95e-01    2.2e-04
  20000      1.26e+00    2.91e-01      1.89e-02    1.75e-03      1.34e-01    3.10e-02    1.7e-04
  22000      1.45e+00    1.63e-01      7.25e-03    1.59e-02      1.74e-01    1.30e-02    1.4e-04
  24000      1.43e+00    5.16e-01      2.14e-02    3.66e-03      1.92e-01    6.99e-02    1.1e-04
  26000      1.34e+00    1.84e+00      2.32e-02    3.72e-04      2.03e-01    2.81e-01    8.4e-05
  28000      7.84e-01    3.75e-01      2.90e-02    3.07e-02      1.29e-01    4.93e-02    6.6e-05
  30000      7.64e-01    1.44e+00      4.30e-03    2.43e-03      1.48e-01    2.79e-01    5.1e-05
  32000      6.03e-01    6.68e-02      5.72e-03    3.69e-03      1.31e-01    1.31e-02    4.0e-05
  34000      6.46e-01    5.73e-02      9.16e-03    2.08e-03      1.57e-01    1.34e-02    3.2e-05
  36000      4.58e-01    1.05e+00      2.54e-03    1.10e-03      1.25e-01    2.87e-01    2.5e-05
  38000      6.63e-01    1.63e-01      1.64e-02    1.39e-02      1.99e-01    3.67e-02    1.9e-05
  40000      4.66e-01    7.98e-01      1.63e-02    2.22e-02      1.53e-01    2.66e-01    1.5e-05
  42000      3.81e-01    6.67e-02      9.94e-03    7.05e-03      1.42e-01    1.37e-02    1.2e-05
  44000      3.51e-01    1.85e-01      1.11e-03    2.30e-03      1.48e-01    7.74e-02    9.3e-06
  46000      2.81e-01    5.88e-01      5.99e-03    7.34e-04      1.29e-01    2.73e-01    7.3e-06
  48000      3.27e-01    3.57e-01      3.51e-03    9.76e-05      1.66e-01    1.82e-01    5.7e-06
  50000      3.77e-01    4.69e-02      3.43e-02    5.51e-03      1.44e-01    9.04e-03    4.5e-06
  52000      2.68e-01    3.63e-01      1.21e-02    2.07e-02      1.51e-01    1.95e-01    3.5e-06
  54000      2.58e-01    2.43e-01      8.22e-03    3.45e-03      1.62e-01    1.57e-01    2.7e-06
  56000      2.71e-01    5.90e-02      2.89e-03    2.11e-03      1.88e-01    3.93e-02    2.2e-06
  58000      2.87e-01    4.47e-02      1.94e-02    1.20e-04      1.78e-01    3.29e-02    1.7e-06
  60000      2.16e-01    2.05e-01      4.82e-03    1.10e-02      1.65e-01    1.44e-01    1.3e-06
  62000      1.96e-01    1.91e-01      2.19e-03    6.27e-03      1.58e-01    1.50e-01    1.0e-06
  64000      2.85e-01    4.73e-02      1.50e-02    1.34e-03      2.19e-01    3.89e-02    8.1e-07
  66000      1.97e-01    1.21e-01      1.36e-02    9.85e-03      1.43e-01    7.96e-02    6.3e-07
  68000      2.11e-01    3.38e-01      5.30e-04    1.17e-02      1.89e-01    2.90e-01    5.0e-07
  70000      1.78e-01    1.57e-02      5.43e-04    1.21e-03      1.63e-01    1.13e-02    3.9e-07
  72000      1.93e-01    3.31e-01      7.27e-03    3.77e-03      1.72e-01    3.07e-01    3.0e-07
  74000      1.86e-01    1.11e-02      3.54e-03    8.97e-05      1.74e-01    1.04e-02    2.4e-07
  76000      1.75e-01    7.73e-02      9.80e-03    6.18e-05      1.50e-01    7.39e-02    1.9e-07
  78000      1.53e-01    3.13e-01      3.21e-03    1.80e-02      1.46e-01    2.69e-01    1.5e-07
  80000      1.60e-01    1.56e-01      2.47e-03    1.02e-03      1.55e-01    1.52e-01    1.1e-07
  82000      1.77e-01    1.76e-01      5.44e-04    1.20e-02      1.73e-01    1.44e-01    9.0e-08
  84000      1.69e-01    1.30e-01      5.74e-03    3.30e-03      1.60e-01    1.25e-01    7.0e-08
  86000      1.63e-01    5.43e-02      2.19e-03    2.77e-03      1.59e-01    4.89e-02    5.5e-08
  88000      1.48e-01    4.93e-02      3.58e-03    2.50e-03      1.44e-01    4.46e-02    4.3e-08
  90000      2.39e-01    2.67e-01      5.09e-04    6.83e-03      2.37e-01    2.59e-01    3.4e-08
  92000      1.77e-01    6.67e-02      9.06e-03    1.44e-03      1.61e-01    6.52e-02    2.7e-08
  94000      1.60e-01    7.72e-02      3.45e-03    6.57e-04      1.57e-01    7.66e-02    2.1e-08
  96000      1.62e-01    1.36e-02      2.21e-03    9.95e-05      1.60e-01    1.35e-02    1.6e-08
  98000      2.24e-01    2.66e-01      1.27e-02    3.10e-03      1.99e-01    2.64e-01    1.3e-08
 100000      2.00e-01    7.71e-02      3.38e-03    8.44e-04      1.97e-01    7.66e-02    1.0e-08
