#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       4.951449e-03       8.490706e-04       2.826304e-03       5.922381e-02       1.370571e-02       3.135407e-02
          10       6.521595e-03       1.660371e-03       3.257994e-03       8.108882e-02       2.085736e-02       3.328482e-02
          20       8.957248e-03       1.935573e-03       4.161434e-03       8.022246e-02       1.972396e-02       3.937505e-02
          30       1.539731e-02       2.581169e-03       8.310001e-03       1.463864e-01       2.129552e-02       5.272876e-02
          40       3.076441e-02       2.707753e-03       1.510357e-02       1.760890e-01       2.290815e-02       6.143482e-02
          50       3.213263e-02       2.377850e-03       1.526610e-02       1.804210e-01       2.523266e-02       6.281286e-02
          60       3.307216e-02       2.162499e-03       1.636404e-02       1.591381e-01       2.140982e-02       6.495759e-02
          70       3.348077e-02       1.513490e-03       1.760316e-02       1.826109e-01       2.964480e-02       7.249505e-02
          80       3.277046e-02       8.757192e-04       1.535574e-02       2.150045e-01       3.375162e-02       7.807304e-02
          90       2.034959e-02       1.309700e-03       9.594952e-03       2.332070e-01       2.586559e-02       8.248021e-02
         100       1.711466e-02       4.200172e-03       9.574123e-03       1.933830e-01       3.347579e-02       8.164391e-02
         110       3.741747e-02       4.409581e-03       1.789075e-02       1.851857e-01       2.845270e-02       8.244592e-02
         120       4.438269e-02       4.523486e-03       2.222207e-02       2.360514e-01       2.870474e-02       9.110666e-02
         130       3.927457e-02       3.500177e-03       2.170573e-02       2.877386e-01       4.107290e-02       9.839849e-02
         140       4.118413e-02       1.668681e-03       2.271947e-02       3.717412e-01       3.397426e-02       1.020108e-01
         150       4.699333e-02       3.062998e-03       2.648874e-02       3.029588e-01       4.517390e-02       1.021126e-01
         160       7.413828e-02       2.171244e-03       4.081101e-02       2.361802e-01       4.746983e-02       1.021761e-01
         170       1.191915e-01       4.370454e-03       6.438586e-02       2.387714e-01       3.074941e-02       9.950836e-02
         180       1.478966e-01       4.374764e-03       8.562713e-02       2.744361e-01       3.842034e-02       1.064195e-01
         190       1.696053e-01       9.285066e-03       9.622298e-02       3.281285e-01       4.822464e-02       1.296037e-01
         200       1.920940e-01       1.164129e-02       1.095803e-01       3.120011e-01       6.379075e-02       1.460033e-01
         210       2.000276e-01       4.745253e-03       1.139211e-01       3.751115e-01       6.298978e-02       1.593389e-01
         220       2.111342e-01       8.867589e-03       1.189767e-01       4.565413e-01       7.071098e-02       1.739783e-01
         230       2.399816e-01       9.627213e-03       1.322191e-01       6.177062e-01       4.897930e-02       1.983278e-01
         240       3.177307e-01       1.042581e-02       1.642028e-01       5.482190e-01       7.004843e-02       2.082999e-01
         250       3.425577e-01       7.549319e-03       1.765439e-01       5.588447e-01       7.349039e-02       2.254574e-01
         260       3.072102e-01       1.165114e-02       1.708878e-01       5.177474e-01       9.410908e-02       2.533650e-01
         270       3.605571e-01       1.694967e-02       2.040884e-01       4.779147e-01       1.202201e-01       2.653046e-01
         280       4.252315e-01       1.546094e-02       2.435768e-01       5.124358e-01       1.133287e-01       2.648818e-01
         290       4.565234e-01       1.392504e-02       2.610824e-01       7.032437e-01       9.379428e-02       2.968722e-01
         300       4.339183e-01       1.512276e-02       2.489512e-01       8.275408e-01       1.242260e-01       3.310515e-01
         310       4.130578e-01       1.397087e-02       2.342977e-01       7.546256e-01       1.014984e-01       3.503878e-01
         320       4.659998e-01       1.410682e-02       2.604358e-01       6.813105e-01       1.397101e-01       3.699575e-01
         330       5.746489e-01       1.855205e-02       3.149565e-01       7.918019e-01       8.421531e-02       3.614625e-01
         340       6.689721e-01       1.142787e-02       3.562465e-01       1.270060e+00       1.544249e-01       4.257648e-01
         350       6.580636e-01       7.452030e-03       3.538506e-01       9.100240e-01       1.734224e-01       4.225497e-01
         360       5.785132e-01       1.199195e-02       3.182138e-01       8.074926e-01       1.261838e-01       3.723005e-01
         370       5.343024e-01       5.148818e-03       3.017078e-01       8.615388e-01       1.322653e-01       3.725232e-01
         380       5.286052e-01       1.473924e-02       3.048800e-01       7.857439e-01       1.325124e-01       3.897032e-01
         390       5.509249e-01       2.488323e-02       3.131973e-01       8.278077e-01       1.370254e-01       3.904630e-01
         400       5.591067e-01       2.087874e-02       3.199370e-01       7.808280e-01       1.658997e-01       3.831986e-01
         410       5.575051e-01       1.200978e-02       3.166293e-01       7.546135e-01       9.033210e-02       4.110380e-01
         420       5.670762e-01       1.211950e-02       3.177595e-01       1.041744e+00       1.222102e-01       3.937750e-01
         430       5.476190e-01       1.170297e-02       3.055039e-01       9.619243e-01       1.660379e-01       3.893002e-01
         440       5.122849e-01       6.305249e-03       2.910430e-01       7.767208e-01       1.925288e-01       4.084771e-01
         450       5.191030e-01       1.064030e-02       2.922690e-01       1.030277e+00       1.561752e-01       4.194152e-01
         460       5.738987e-01       1.759705e-02       3.163192e-01       1.122718e+00       1.874573e-01       4.059445e-01
         470       6.000962e-01       1.663910e-02       3.381162e-01       1.091235e+00       1.530079e-01       4.513156e-01
         480       6.532546e-01       1.893770e-02       3.708341e-01       9.578935e-01       2.033570e-01       4.581699e-01
         490       7.078853e-01       1.143153e-02       3.984300e-01       1.318017e+00       1.797962e-01       4.643246e-01
         500       7.240765e-01       1.117095e-02       4.168229e-01       8.249979e-01       2.054676e-01       4.506287e-01
         510       7.578908e-01       2.456808e-02       4.275698e-01       1.296360e+00       1.979685e-01       4.545363e-01
         520       7.714403e-01       1.149763e-02       4.257825e-01       1.401082e+00       1.979840e-01       4.761610e-01
         530       7.123370e-01       2.373126e-02       3.904944e-01       1.401063e+00       1.773481e-01       4.671075e-01
         540       6.845201e-01       1.071888e-02       3.810477e-01       9.997008e-01       1.865769e-01       4.772509e-01
         550       7.054680e-01       2.103552e-02       4.018360e-01       1.165673e+00       1.466919e-01       4.458217e-01
         560       7.136203e-01       2.688899e-02       4.060467e-01       1.029998e+00       2.183776e-01       4.920615e-01
         570       7.288058e-01       1.826117e-02       4.166709e-01       1.249211e+00       1.898460e-01       5.583494e-01
