#step enthalpy vol
0 -6798.6509109700409681 1421.0566167909626074
50 -6814.8940872554003363 1421.6406194407149997
100 -6805.7294123894453151 1415.5263269963431867
150 -6810.8073199492273488 1407.4002652613442024
200 -6800.6586134914477952 1396.111494255587786
250 -6803.0444633525512472 1387.3165812696352077
300 -6798.9541526315451847 1379.7495785551443532
350 -6808.2231944719515013 1377.0402964869408606
400 -6801.4999475261065527 1375.7136930964140902
450 -6796.7151056428510856 1377.2419242761156966
500 -6796.3285113217334583 1385.9878618064240072
550 -6798.1607688952854005 1401.3677618886483742
600 -6811.2360078102128682 1420.8155002453302131
650 -6797.0011233324348723 1435.28284383688856
700 -6808.0946833062025689 1458.4684614990558202
750 -6808.962577268836867 1484.4473449024615093
800 -6824.973182113844814 1506.0524962545098333
850 -6821.1711673499057724 1511.0583708699982708
900 -6814.4286062484889044 1498.7017309516302248
950 -6801.8665964100164274 1478.5559729987787705
1000 -6794.6331186204079131 1465.9443100404287179
1050 -6803.2979090721601096 1464.1562199216559748
1100 -6807.1497184900981665 1466.1232753324325131
1150 -6793.0695506390557057 1470.2381957008406062
1200 -6812.8604654487653534 1483.1041821710252862
1250 -6791.7295915748263724 1494.3959695230344096
1300 -6804.2297852649671768 1515.7805304769167378
1350 -6803.2002746017569734 1542.4345381517152873
1400 -6799.0139922165908501 1572.4994570458181897
1450 -6796.2634386631016241 1612.1876428596160622
1500 -6804.0459997825300889 1666.6716133694171731
1550 -6806.4535913925901696 1729.4299139566467147
1600 -6800.952631956381083 1795.5818679451397202
1650 -6792.7013872076031475 1864.480669395430823
1700 -6788.5265907130951746 1946.7346772181867891
1750 -6809.8967049181283073 2047.8481546481307305
1800 -6795.244332213832422 2145.5008581843558204
1850 -6796.7026548140238447 2245.4781731605803543
1900 -6800.4501673454942647 2340.5609023123433872
1950 -6793.1612450834372794 2424.1721737575649058
2000 -6803.9369222824861936 2509.7841833848442548
2050 -6791.8970957894016465 2595.9982495243443736
2100 -6787.2559465647636898 2703.9740792647280614
2150 -6792.750581692198466 2843.8624697511868362
2200 -6806.0233252443922538 3005.4102461854522517
2250 -6802.5738827879304154 3173.7759030554643687
2300 -6807.4494023119968915 3351.5262854252191573
2350 -6804.9587210699046409 3529.2520574971103997
2400 -6797.6463376606134261 3703.9917844330270782
2450 -6799.4105340131081903 3892.4970418302473263
2500 -6805.8528588962544745 4103.1003029384100955
2550 -6802.1797410090712219 4326.9151158965987634
2600 -6781.179443912285933 4585.0149695537429579
2650 -6810.2204961786783315 4895.7700998214031642
2700 -6814.0461543965493547 5215.5607972136231183
2750 -6802.8786112434299866 5534.8504949311791279
2800 -6798.6768228124592497 5890.3744340991806894
2850 -6816.2129355259694421 6292.0422016067041113
2900 -6779.3377455218560499 6711.8630758622066423
2950 -6811.1180840109609562 7223.1153452800544983
3000 -6804.7463598773947524 7756.8640422052485519
3050 -6782.5062164463179215 8340.7060401711860322
3100 -6805.4107275484957427 9050.2479800959572458
3150 -6790.9775969919246563 9854.501760363649737
3200 -6811.383181381801478 10832.022995293948043
3250 -6782.0944755138298206 11834.694598836174919
3300 -6821.6705499721501837 13028.231690280277689
3350 -6798.3354996588686845 14381.810355402445566
3400 -6804.1202194823899845 15968.075870776179727
3450 -6808.6090321337424029 17813.346169008615107
3500 -6807.6203733762040429 20018.368899497912935
3550 -6810.8797867794892227 22643.110502234543674
3600 -6791.7794526021671118 25744.797385589870828
3650 -6808.0596754522894116 29661.345600226268289
3700 -6814.3570788322303997 34452.598602819431107
3750 -6801.0893577323549835 40487.535227206462878
3800 -6812.5388327086611753 48259.736498930797097
3850 -6802.0237574681568731 58345.883221325748309
3900 -6810.5534715344074357 72036.093426602776162
3950 -6803.3373695025720735 91167.297909118220559
4000 -6812.1905611097918154 119333.4549291581643
4050 -6797.2783477090570159 162664.59587631508475
4100 -6821.1365270963369767 234698.31134940244374
4150 -6816.8897850928451589 367356.36219153500861
4200 -6808.2765218175863993 655948.11857454478741
4250 -6811.3119594343679637 1487213.6389859619085
4300 -6784.0288953072922595 6097623.8515274133533
