#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.324669e-02       1.035595e-03       7.582601e-03       5.412938e-02       1.151043e-02       3.124141e-02
          10       1.537166e-02       1.214849e-03       8.495463e-03       5.923212e-02       1.638285e-02       3.277815e-02
          20       1.859175e-02       1.680507e-03       1.023692e-02       6.797379e-02       1.571113e-02       3.618943e-02
          30       2.014543e-02       9.471172e-04       1.108110e-02       7.061876e-02       1.654266e-02       3.936680e-02
          40       2.371821e-02       1.518600e-03       1.346720e-02       7.254899e-02       1.474020e-02       3.943195e-02
          50       2.818631e-02       1.748442e-03       1.518363e-02       8.511281e-02       1.606444e-02       4.016123e-02
          60       2.441374e-02       1.581205e-03       1.285731e-02       9.477197e-02       1.508676e-02       4.314905e-02
          70       2.539393e-02       2.221397e-03       1.311321e-02       8.710120e-02       2.416861e-02       4.667476e-02
          80       2.667426e-02       2.851737e-03       1.402906e-02       9.540234e-02       2.189449e-02       5.027146e-02
          90       2.154822e-02       1.666944e-03       1.147113e-02       9.617356e-02       2.523557e-02       5.077135e-02
         100       1.946543e-02       1.734511e-03       1.082733e-02       9.203970e-02       2.327313e-02       5.353415e-02
         110       2.609148e-02       2.133281e-03       1.381684e-02       1.096667e-01       2.292786e-02       5.585563e-02
         120       2.913103e-02       2.261950e-03       1.600106e-02       1.592394e-01       2.530653e-02       5.765888e-02
         130       3.170529e-02       3.273693e-03       1.693556e-02       1.124853e-01       2.213936e-02       5.263912e-02
         140       2.902238e-02       3.676112e-03       1.613190e-02       8.684957e-02       1.879854e-02       5.207225e-02
         150       2.357419e-02       4.248515e-03       1.362150e-02       1.001402e-01       2.437970e-02       5.119906e-02
         160       1.516489e-02       3.459808e-03       8.831617e-03       9.775079e-02       2.656972e-02       5.123020e-02
         170       1.658097e-02       1.186911e-03       9.098436e-03       1.046243e-01       1.568871e-02       4.883479e-02
         180       2.075709e-02       5.318691e-04       1.123200e-02       1.070330e-01       2.393720e-02       4.703073e-02
         190       1.538505e-02       2.239286e-03       9.346368e-03       7.916332e-02       1.631085e-02       4.131593e-02
         200       1.298866e-02       2.631106e-03       7.391727e-03       6.286681e-02       1.695134e-02       4.057512e-02
         210       1.309472e-02       1.811352e-03       6.224719e-03       9.298832e-02       1.772815e-02       4.337254e-02
         220       1.402839e-02       2.851841e-03       7.174741e-03       8.701328e-02       1.396513e-02       4.570126e-02
         230       1.573991e-02       2.759231e-03       8.301772e-03       8.981634e-02       2.440603e-02       4.730920e-02
         240       2.015072e-02       1.385395e-03       1.072701e-02       9.261313e-02       1.679196e-02       4.634325e-02
         250       2.011208e-02       2.853871e-03       1.188991e-02       1.069410e-01       1.980329e-02       4.694433e-02
         260       1.368978e-02       3.461169e-03       8.483115e-03       8.370060e-02       1.754839e-02       4.770394e-02
         270       1.456029e-02       3.206391e-03       7.270346e-03       1.605903e-01       1.327425e-02       5.145799e-02
         280       1.623916e-02       1.389852e-03       8.707386e-03       1.073925e-01       2.636971e-02       5.055371e-02
         290       1.627302e-02       3.434246e-03       9.477547e-03       1.237492e-01       2.462441e-02       5.383539e-02
         300       2.159130e-02       1.045480e-03       1.226501e-02       1.665307e-01       2.281535e-02       5.630401e-02
         310       2.897277e-02       8.022098e-04       1.582630e-02       1.406943e-01       1.723052e-02       5.426996e-02
