#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
         610       1.436560e-02       1.897727e-03       7.301620e-03       1.784770e-01       3.167401e-02       6.402204e-02
         620       2.014431e-02       1.091213e-03       9.247612e-03       1.156830e-01       2.590695e-02       5.933748e-02
         630       1.378686e-02       2.301583e-03       6.344282e-03       1.110361e-01       2.628831e-02       5.541275e-02
         640       1.110677e-02       2.172667e-03       5.744192e-03       1.056492e-01       2.121034e-02       5.494778e-02
         650       1.579721e-02       1.772427e-03       8.755238e-03       1.304346e-01       2.115198e-02       5.399795e-02
         660       1.875899e-02       3.382422e-03       1.009695e-02       1.215487e-01       2.886003e-02       5.448795e-02
         670       1.875133e-02       1.570318e-03       9.538663e-03       1.002496e-01       1.198177e-02       5.131139e-02
         680       1.736456e-02       3.034974e-03       9.184736e-03       1.066693e-01       2.168695e-02       5.159163e-02
         690       1.825015e-02       3.693766e-03       9.475683e-03       1.102745e-01       2.350016e-02       5.395107e-02
         700       2.079595e-02       2.505268e-03       1.081726e-02       1.056209e-01       1.966389e-02       5.551405e-02
         710       2.643238e-02       2.288954e-03       1.303956e-02       1.128227e-01       1.524666e-02       5.907838e-02
         720       2.958287e-02       2.780078e-03       1.383373e-02       1.280100e-01       2.287790e-02       6.419799e-02
         730       2.337733e-02       1.564098e-03       1.082496e-02       1.404792e-01       2.378692e-02       6.769908e-02
         740       2.070086e-02       7.198298e-04       1.091834e-02       1.258837e-01       1.981512e-02       6.575454e-02
         750       1.945192e-02       2.464887e-03       9.291698e-03       1.762625e-01       2.350947e-02       6.235414e-02
         760       1.393949e-02       3.276210e-03       7.062772e-03       1.863339e-01       1.779005e-02       6.081608e-02
         770       1.824040e-02       2.397732e-03       8.167147e-03       1.968083e-01       2.384708e-02       6.059047e-02
         780       1.962628e-02       7.375309e-04       8.577222e-03       1.744931e-01       2.551657e-02       5.923950e-02
         790       1.616164e-02       1.384611e-03       7.690128e-03       1.706915e-01       3.035715e-02       6.299513e-02
         800       1.551284e-02       8.975049e-04       8.277116e-03       1.733623e-01       2.183868e-02       6.268765e-02
         810       1.460824e-02       2.362994e-03       8.097922e-03       1.763675e-01       1.990577e-02       5.589395e-02
         820       1.391635e-02       1.222834e-03       6.796032e-03       1.331115e-01       2.021572e-02       5.272113e-02
         830       9.978953e-03       1.441883e-03       5.757128e-03       1.350464e-01       2.573054e-02       5.802954e-02
         840       2.058961e-02       2.600203e-03       1.116632e-02       1.421297e-01       1.594965e-02       6.178374e-02
         850       2.587944e-02       2.422428e-03       1.398021e-02       1.454414e-01       2.291878e-02       6.199470e-02
         860       3.178168e-02       2.012787e-03       1.704813e-02       1.588952e-01       2.336666e-02       6.152576e-02
         870       2.967832e-02       2.994354e-03       1.576958e-02       1.856119e-01       2.433902e-02       6.238387e-02
         880       3.410699e-02       3.388331e-03       1.656806e-02       2.111158e-01       2.456176e-02       6.159983e-02
         890       4.361726e-02       2.141318e-03       2.157832e-02       2.279157e-01       2.119903e-02       6.096828e-02
         900       4.293873e-02       3.143164e-03       2.312744e-02       2.192100e-01       2.759477e-02       6.236182e-02
         910       3.968581e-02       3.219097e-03       2.151663e-02       2.109032e-01       2.785111e-02       6.225419e-02
         920       4.304155e-02       3.179811e-03       2.367115e-02       2.130410e-01       1.965685e-02       6.241757e-02
         930       4.308150e-02       2.984048e-03       2.405364e-02       2.165821e-01       2.733252e-02       5.940102e-02
         940       2.796182e-02       1.227659e-03       1.607956e-02       2.305764e-01       2.500827e-02       6.136010e-02
         950       2.901047e-02       7.682959e-04       1.563641e-02       2.508950e-01       3.186871e-02       6.586903e-02
         960       2.930017e-02       2.350949e-03       1.590672e-02       2.574734e-01       3.220348e-02       6.839172e-02
         970       3.025065e-02       4.239491e-03       1.736637e-02       2.379866e-01       2.802252e-02       7.012299e-02
         980       3.181519e-02       4.877151e-03       1.687955e-02       1.942883e-01       2.294346e-02       6.890166e-02
         990       2.623559e-02       4.633609e-03       1.367393e-02       1.626017e-01       1.971278e-02       6.054074e-02
        1000       1.519918e-02       4.242182e-03       9.040960e-03       1.362411e-01       2.357093e-02       5.697747e-02
