#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.188885e-02       2.017417e-03       6.784750e-03       7.879811e-02       2.461654e-02       4.598579e-02
          10       1.404438e-02       2.027027e-03       7.920176e-03       8.993274e-02       2.351244e-02       4.749258e-02
          20       2.002343e-02       2.783380e-03       1.087518e-02       1.038754e-01       1.588685e-02       5.105302e-02
          30       1.351248e-02       2.258990e-03       7.800604e-03       9.955072e-02       2.820610e-02       5.077419e-02
          40       1.162727e-02       1.561743e-03       7.273816e-03       1.079118e-01       2.604607e-02       4.969147e-02
          50       1.554856e-02       9.123675e-04       8.629870e-03       1.111576e-01       1.979765e-02       4.877652e-02
          60       1.831114e-02       1.989636e-03       1.007492e-02       1.569172e-01       1.564737e-02       5.088119e-02
          70       1.519362e-02       2.020010e-03       8.146920e-03       1.683171e-01       2.186665e-02       5.073416e-02
          80       1.442087e-02       3.018557e-03       8.513678e-03       1.419036e-01       2.198882e-02       4.791938e-02
          90       1.483912e-02       2.059819e-03       8.235234e-03       1.133956e-01       1.610738e-02       4.579103e-02
         100       1.917225e-02       8.676798e-04       1.082933e-02       1.428215e-01       2.315803e-02       4.858471e-02
         110       2.238672e-02       1.327190e-03       1.245980e-02       1.290038e-01       1.678118e-02       4.879397e-02
         120       2.437702e-02       3.196357e-03       1.139890e-02       8.072082e-02       2.187285e-02       4.479503e-02
         130       2.089891e-02       1.864881e-03       9.975184e-03       9.178017e-02       2.083584e-02       4.521470e-02
         140       2.232923e-02       1.351198e-03       1.053285e-02       8.378773e-02       2.547853e-02       4.558521e-02
         150       2.275242e-02       2.138129e-03       1.084036e-02       7.968634e-02       2.433964e-02       4.613647e-02
         160       1.876516e-02       2.908820e-03       1.049911e-02       8.121017e-02       2.424259e-02       4.737240e-02
         170       1.567934e-02       2.811950e-03       8.452042e-03       9.717726e-02       1.822439e-02       4.640901e-02
         180       1.235951e-02       5.609774e-04       6.570328e-03       9.485044e-02       1.766649e-02       4.806062e-02
         190       1.444810e-02       3.086103e-03       7.306947e-03       9.460071e-02       1.762004e-02       4.977969e-02
         200       1.444989e-02       2.998689e-03       8.547561e-03       1.158399e-01       1.965663e-02       4.998382e-02
         210       1.991333e-02       3.499914e-03       1.088520e-02       1.414971e-01       1.683233e-02       5.373708e-02
         220       1.553114e-02       3.841920e-03       9.062023e-03       1.627162e-01       2.905698e-02       5.844109e-02
         230       2.306889e-02       3.232220e-03       1.212937e-02       1.812926e-01       2.836927e-02       6.161329e-02
         240       2.889841e-02       2.527016e-03       1.600682e-02       3.865784e-01       2.505370e-02       7.603063e-02
         250       3.713932e-02       3.584554e-03       2.104597e-02       4.931147e-01       1.645991e-02       8.523969e-02
         260       3.773503e-02       1.684197e-03       2.067276e-02       3.188378e-01       1.912052e-02       7.462040e-02
         270       3.194830e-02       2.064687e-03       1.800747e-02       1.693876e-01       2.458729e-02       5.952529e-02
         280       2.663698e-02       1.741034e-03       1.468072e-02       1.427931e-01       2.528871e-02       5.949619e-02
         290       2.385808e-02       8.048234e-04       1.259684e-02       1.241723e-01       2.707994e-02       5.808573e-02
         300       2.284505e-02       2.407525e-03       1.277867e-02       1.442081e-01       2.402796e-02       5.721241e-02
         310       2.555406e-02       3.869930e-03       1.331769e-02       1.539010e-01       2.423657e-02       6.156483e-02
         320       2.081548e-02       2.263231e-03       1.092062e-02       1.374721e-01       1.846263e-02       5.965959e-02
         330       1.843544e-02       4.778852e-03       1.019725e-02       1.032170e-01       2.602167e-02       5.691673e-02
         340       1.977861e-02       5.230566e-03       9.572832e-03       1.055277e-01       2.237694e-02       5.435312e-02
         350       2.081322e-02       2.581958e-03       1.013227e-02       1.323939e-01       2.452414e-02       5.657344e-02
         360       2.007112e-02       2.524312e-03       1.074079e-02       1.024628e-01       3.041509e-02       5.432483e-02
         370       2.316675e-02       1.679906e-03       1.200591e-02       1.006594e-01       1.683311e-02       5.086313e-02
         380       2.624725e-02       2.031807e-03       1.270655e-02       9.004789e-02       2.130822e-02       4.737553e-02
         390       2.740696e-02       3.077773e-03       1.288417e-02       1.015657e-01       1.652763e-02       4.655374e-02
         400       2.054904e-02       1.966511e-03       1.026884e-02       9.506053e-02       2.092330e-02       4.284269e-02
         410       1.688975e-02       3.716246e-03       8.419888e-03       1.754391e-01       2.173801e-02       4.812299e-02
         420       1.409041e-02       3.184901e-03       6.882904e-03       1.367911e-01       1.566024e-02       4.717928e-02
         430       1.002476e-02       3.804166e-03       6.710185e-03       1.075845e-01       2.339500e-02       5.113950e-02
         440       1.001794e-02       1.332577e-03       5.854635e-03       1.694701e-01       2.839975e-02       5.468309e-02
         450       8.182532e-03       4.101598e-04       3.678801e-03       1.807169e-01       1.988819e-02       5.243873e-02
         460       1.070143e-02       7.279422e-04       5.377339e-03       1.280985e-01       1.899025e-02       5.415044e-02
         470       8.955361e-03       1.853415e-03       5.460816e-03       1.148891e-01       1.441717e-02       5.041860e-02
         480       1.279908e-02       2.979160e-03       6.716642e-03       1.269159e-01       1.804109e-02       4.859560e-02
         490       1.086813e-02       2.417313e-03       5.550238e-03       1.490399e-01       2.338783e-02       5.054083e-02
         500       8.827651e-03       1.597136e-03       5.364968e-03       9.841825e-02       1.654653e-02       4.685115e-02
         510       1.126369e-02       1.166981e-03       6.441839e-03       8.942221e-02       1.828847e-02       4.481681e-02
         520       1.144197e-02       1.739341e-03       6.876545e-03       1.816572e-01       1.672025e-02       4.727766e-02
         530       9.754192e-03       1.071326e-03       5.609521e-03       2.152771e-01       2.002120e-02       4.987292e-02
         540       1.060858e-02       1.033139e-03       5.494007e-03       1.927587e-01       2.506077e-02       5.143476e-02
         550       1.632192e-02       1.130144e-03       8.383631e-03       9.529576e-02       2.212615e-02       5.387671e-02
         560       1.979268e-02       2.692269e-03       1.065092e-02       1.051422e-01       1.655002e-02       5.266978e-02
         570       1.306240e-02       2.041844e-03       6.853661e-03       1.687520e-01       2.254264e-02       5.454147e-02
         580       9.533973e-03       1.947861e-03       5.881875e-03       1.066896e-01       2.007076e-02       4.922874e-02
         590       1.040516e-02       1.460958e-03       5.139492e-03       9.816994e-02       1.747107e-02       4.447279e-02
         600       5.063382e-03       1.987224e-03       3.669168e-03       1.564280e-01       1.796391e-02       4.530938e-02
         610       6.821136e-03       7.579207e-04       4.458837e-03       1.719395e-01       1.429980e-02       4.364273e-02
         620       8.903200e-03       1.889950e-03       4.485893e-03       9.737279e-02       2.003886e-02       4.151715e-02
         630       9.680035e-03       2.222102e-03       5.228876e-03       1.431722e-01       1.744725e-02       4.425997e-02
         640       1.000466e-02       2.126471e-03       5.417223e-03       2.258935e-01       2.010633e-02       4.833647e-02
         650       1.181120e-02       4.121317e-03       6.533695e-03       2.100102e-01       2.211763e-02       5.156675e-02
         660       1.434220e-02       1.500118e-03       6.732313e-03       1.009607e-01       2.686558e-02       5.082367e-02
         670       1.478072e-02       1.451855e-03       6.508274e-03       1.028296e-01       1.875810e-02       4.922298e-02
         680       9.744740e-03       8.407960e-04       4.565772e-03       1.277774e-01       1.953371e-02       4.830410e-02
         690       6.319796e-03       6.728992e-04       3.425663e-03       1.032841e-01       1.799974e-02       5.047554e-02
         700       1.120929e-02       2.515097e-03       6.713402e-03       9.413102e-02       1.896893e-02       5.293530e-02
         710       1.056220e-02       5.209696e-04       5.796379e-03       1.201749e-01       1.765273e-02       5.089599e-02
         720       4.860274e-03       8.702281e-04       3.023559e-03       1.049608e-01       1.573403e-02       5.067290e-02
         730       8.362815e-03       2.369849e-03       4.781285e-03       8.917078e-02       2.715491e-02       5.028346e-02
         740       1.368640e-02       3.216881e-03       7.912858e-03       8.208095e-02       1.173092e-02       4.744747e-02
         750       1.317779e-02       3.032630e-03       7.008584e-03       7.935270e-02       1.676045e-02       4.786084e-02
         760       8.669587e-03       2.118764e-03       4.658249e-03       9.124410e-02       2.404671e-02       4.732936e-02
         770       1.191508e-02       3.131368e-04       6.090761e-03       8.753022e-02       2.394518e-02       4.529725e-02
         780       1.476749e-02       8.418316e-04       7.676391e-03       8.802409e-02       2.051278e-02       4.263674e-02
         790       9.364498e-03       1.819535e-03       5.980802e-03       8.223216e-02       2.067225e-02       4.154874e-02
         800       1.031196e-02       2.226144e-03       5.780719e-03       1.096020e-01       1.829506e-02       4.372929e-02
         810       1.485955e-02       1.643255e-03       7.433129e-03       1.165063e-01       2.185172e-02       4.680474e-02
         820       1.617497e-02       1.506556e-03       8.367045e-03       1.056984e-01       1.783831e-02       5.085793e-02
         830       1.814881e-02       1.730735e-03       9.623920e-03       1.067062e-01       2.420759e-02       5.341404e-02
         840       2.039885e-02       1.476895e-03       1.090455e-02       1.473658e-01       3.037284e-02       6.389682e-02
         850       1.690043e-02       2.468207e-03       1.001523e-02       1.689211e-01       2.760305e-02       6.281134e-02
         860       1.634668e-02       3.779475e-03       8.731439e-03       1.010062e-01       2.802515e-02       5.463891e-02
         870       1.211061e-02       5.390071e-03       8.015012e-03       1.240580e-01       2.483162e-02       5.371606e-02
         880       1.358878e-02       1.671139e-03       7.746926e-03       1.236927e-01       2.036218e-02       5.294072e-02
         890       2.127703e-02       7.783132e-04       1.071039e-02       2.392079e-01       2.695272e-02       5.532978e-02
         900       2.736157e-02       9.973072e-04       1.371212e-02       3.924724e-01       2.136970e-02       6.690863e-02
         910       3.461415e-02       2.438970e-03       1.725707e-02       4.487455e-01       2.060411e-02       6.942018e-02
         920       4.588037e-02       2.820896e-03       2.135376e-02       4.990030e-01       2.491534e-02       6.999563e-02
         930       4.418062e-02       1.558475e-03       2.104769e-02       4.277532e-01       1.898310e-02       6.380918e-02
         940       3.544049e-02       1.424998e-03       1.647087e-02       3.040956e-01       2.141619e-02       5.498360e-02
         950       1.946619e-02       3.062075e-03       9.678627e-03       1.397491e-01       1.690440e-02       5.181276e-02
         960       1.523752e-02       2.473528e-03       8.211272e-03       1.098340e-01       1.391279e-02       4.610600e-02
         970       1.603897e-02       1.250524e-03       8.296765e-03       9.856390e-02       1.468304e-02       4.735228e-02
         980       2.335994e-02       2.448171e-03       1.302755e-02       1.340348e-01       1.676866e-02       4.992371e-02
