#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.21e+01    2.26e+01      1.73e-01    7.94e-01      6.97e-01    7.14e-01    2.0e-03
   2000      4.52e+00    2.34e+00      2.29e-01    2.24e-01      1.50e-01    7.55e-02    1.8e-03
   4000      6.10e+00    1.20e+01      5.04e-02    2.85e-01      2.18e-01    4.28e-01    1.6e-03
   6000      3.36e+00    7.90e+00      2.60e-01    2.62e-02      1.20e-01    3.00e-01    1.4e-03
   8000      2.35e+00    8.39e+00      2.63e-01    6.81e-02      7.81e-02    3.38e-01    1.2e-03
  10000      1.85e+00    1.04e+01      1.56e-01    1.77e-01      7.05e-02    4.43e-01    1.1e-03
  12000      1.36e+00    5.71e+00      8.88e-02    1.30e-01      5.71e-02    2.58e-01    9.6e-04
  14000      1.27e+00    6.20e+00      1.33e-01    1.14e-01      4.70e-02    2.99e-01    8.5e-04
  16000      1.23e+00    5.21e+00      1.04e-01    2.65e-03      5.34e-02    2.68e-01    7.5e-04
  18000      1.32e+00    5.27e+00      1.63e-01    6.15e-02      4.26e-02    2.88e-01    6.7e-04
  20000      1.17e+00    3.07e+00      8.26e-02    8.58e-02      6.00e-02    1.75e-01    5.9e-04
  22000      1.13e+00    4.75e+00      1.32e-01    4.20e-02      4.11e-02    2.93e-01    5.2e-04
  24000      8.73e-01    4.21e+00      5.67e-02    9.25e-02      5.10e-02    2.73e-01    4.6e-04
  26000      8.85e-01    4.25e+00      8.39e-02    8.73e-02      4.54e-02    2.94e-01    4.1e-04
  28000      1.22e+00    3.78e+00      1.41e-01    3.28e-02      4.97e-02    2.80e-01    3.6e-04
  30000      6.79e-01    2.63e+00      4.39e-02    4.52e-02      4.71e-02    2.05e-01    3.2e-04
  32000      1.07e+00    3.63e+00      1.25e-01    1.30e-02      4.43e-02    3.04e-01    2.8e-04
  34000      6.24e-01    3.49e+00      4.32e-02    8.29e-02      4.75e-02    3.05e-01    2.5e-04
  36000      9.20e-01    3.07e+00      1.03e-01    5.17e-02      4.66e-02    2.88e-01    2.2e-04
  38000      9.96e-01    2.93e+00      9.55e-02    1.90e-02      6.84e-02    2.93e-01    2.0e-04
  40000      6.51e-01    2.60e+00      5.50e-02    4.94e-02      5.29e-02    2.75e-01    1.7e-04
  42000      5.29e-01    2.52e+00      4.05e-02    4.97e-02      4.84e-02    2.82e-01    1.5e-04
