#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.338874e-02       1.009445e-03       1.311489e-02       5.355028e-02       1.584326e-02       3.217284e-02
          10       2.595110e-02       1.700796e-03       1.416107e-02       6.799278e-02       2.087739e-02       3.241998e-02
          20       2.709351e-02       1.934782e-03       1.502392e-02       6.775132e-02       1.861013e-02       3.871324e-02
          30       2.410496e-02       1.542015e-03       1.351381e-02       7.571706e-02       2.277551e-02       4.442183e-02
          40       2.025404e-02       8.390981e-04       1.142686e-02       9.634485e-02       2.228728e-02       4.816350e-02
          50       2.013318e-02       2.402967e-03       1.129238e-02       1.109239e-01       2.048553e-02       5.249574e-02
          60       2.004140e-02       3.242907e-03       1.118991e-02       1.116283e-01       1.847798e-02       5.063695e-02
          70       2.617801e-02       4.937682e-04       1.436568e-02       1.194996e-01       2.699627e-02       5.606264e-02
          80       2.961084e-02       3.806194e-03       1.661124e-02       1.338252e-01       2.438932e-02       6.363199e-02
          90       2.763170e-02       4.637585e-03       1.555925e-02       1.816881e-01       2.426311e-02       6.332101e-02
         100       2.226356e-02       4.179026e-03       1.311766e-02       1.425782e-01       2.256758e-02       5.793783e-02
         110       1.626088e-02       2.839258e-03       9.351839e-03       1.319906e-01       2.255990e-02       5.190504e-02
         120       1.503281e-02       1.705646e-03       8.590699e-03       1.147339e-01       2.076219e-02       5.119431e-02
         130       7.976057e-03       2.425630e-03       5.401039e-03       1.016785e-01       1.874269e-02       4.921153e-02
         140       7.348759e-03       2.423027e-03       5.330650e-03       9.512128e-02       1.783756e-02       4.760953e-02
         150       8.101124e-03       3.146959e-03       4.763055e-03       9.287545e-02       2.270789e-02       5.027140e-02
         160       1.408534e-02       2.335450e-03       6.473410e-03       1.136789e-01       2.593920e-02       5.074729e-02
         170       9.403820e-03       3.074219e-03       5.142629e-03       1.137352e-01       1.494138e-02       5.345193e-02
         180       1.038566e-02       3.125511e-03       6.386372e-03       1.448074e-01       2.094051e-02       5.527894e-02
         190       1.357651e-02       3.639937e-03       7.614481e-03       1.821653e-01       3.222308e-02       5.980428e-02
         200       1.563869e-02       1.054591e-03       8.777707e-03       1.704639e-01       2.564234e-02       6.197040e-02
         210       1.689027e-02       2.758939e-03       9.624793e-03       1.212872e-01       2.741786e-02       5.361621e-02
         220       1.648743e-02       6.245703e-04       8.281024e-03       9.972397e-02       2.091861e-02       4.659277e-02
         230       1.944260e-02       1.041833e-03       1.022845e-02       9.557163e-02       2.064042e-02       4.498991e-02
         240       2.189156e-02       1.325033e-03       1.162616e-02       8.759690e-02       2.957369e-02       4.847620e-02
         250       2.054814e-02       2.330669e-03       1.106933e-02       1.053269e-01       2.496752e-02       5.169471e-02
         260       2.338407e-02       2.258244e-03       1.077756e-02       9.501677e-02       2.930003e-02       4.993883e-02
         270       2.328118e-02       1.773776e-03       1.306608e-02       8.578676e-02       1.910506e-02       4.746649e-02
         280       2.619476e-02       2.764655e-03       1.468080e-02       9.016893e-02       2.279565e-02       4.866062e-02
         290       2.865514e-02       2.598863e-03       1.630769e-02       9.993443e-02       2.136978e-02       5.243644e-02
         300       2.626215e-02       5.126858e-04       1.495930e-02       9.970453e-02       1.725421e-02       4.827759e-02
         310       1.966246e-02       1.268077e-03       1.187047e-02       9.567950e-02       2.861161e-02       5.369692e-02
         320       1.888695e-02       1.345625e-03       1.003325e-02       8.457519e-02       2.978046e-02       5.316650e-02
         330       1.353020e-02       1.442832e-03       7.160279e-03       8.050536e-02       2.377023e-02       4.854150e-02
         340       1.540357e-02       9.577840e-04       8.462997e-03       7.048652e-02       2.456467e-02       4.570682e-02
         350       1.911484e-02       9.886922e-04       1.103291e-02       7.560208e-02       1.786842e-02       4.860078e-02
         360       1.746257e-02       3.227817e-03       1.020354e-02       8.936682e-02       2.625170e-02       5.035740e-02
         370       2.303309e-02       6.463634e-04       1.146166e-02       1.152233e-01       2.945301e-02       5.586951e-02
         380       2.398042e-02       1.700591e-03       1.074015e-02       1.563119e-01       2.590868e-02       5.603435e-02
         390       1.259437e-02       1.431371e-03       7.538095e-03       1.539639e-01       2.395449e-02       5.923655e-02
         400       1.048269e-02       2.457921e-03       5.583523e-03       1.180729e-01       1.979941e-02       5.725501e-02
         410       1.304662e-02       9.182252e-04       6.890770e-03       9.834704e-02       2.790838e-02       5.326753e-02
         420       2.073429e-02       3.188043e-03       1.102268e-02       1.272332e-01       3.252204e-02       5.476032e-02
         430       1.802195e-02       3.357051e-03       9.641709e-03       9.576570e-02       3.076098e-02       5.538279e-02
         440       1.283843e-02       2.951789e-03       6.604262e-03       1.657829e-01       1.783952e-02       5.904842e-02
         450       7.748110e-03       2.983491e-03       5.443025e-03       1.905088e-01       2.671665e-02       6.418224e-02
         460       1.364103e-02       5.278055e-03       8.082957e-03       1.281505e-01       2.988648e-02       6.060701e-02
         470       1.286340e-02       3.184276e-03       7.945809e-03       1.496620e-01       2.833096e-02       5.931647e-02
         480       1.229782e-02       2.096014e-03       7.398564e-03       1.508314e-01       2.755479e-02       5.525274e-02
         490       2.076428e-02       1.666935e-03       1.058375e-02       1.471683e-01       2.229658e-02       5.645099e-02
         500       2.793616e-02       2.419318e-03       1.521603e-02       1.586983e-01       2.520398e-02       5.806430e-02
         510       3.399130e-02       1.829975e-03       1.852787e-02       1.135018e-01       2.169165e-02       5.766253e-02
         520       2.743248e-02       1.466343e-03       1.495351e-02       9.218042e-02       2.150062e-02       5.502128e-02
         530       1.722260e-02       2.127561e-03       9.993841e-03       9.610672e-02       2.394000e-02       5.751308e-02
         540       1.368871e-02       2.503447e-03       7.242050e-03       8.269390e-02       2.788797e-02       5.244214e-02
         550       1.123631e-02       2.939900e-03       6.677370e-03       1.755351e-01       2.687673e-02       5.603175e-02
         560       1.752253e-02       1.065908e-03       9.795405e-03       2.838350e-01       2.993733e-02       6.828119e-02
         570       1.678009e-02       1.606986e-03       9.327979e-03       2.267535e-01       3.787555e-02       6.680640e-02
         580       1.182686e-02       2.052341e-03       5.946494e-03       1.249157e-01       2.073680e-02       6.357800e-02
         590       1.941850e-02       1.969092e-03       9.821764e-03       1.312606e-01       2.207748e-02       6.286923e-02
         600       2.596024e-02       1.855475e-03       1.241071e-02       1.373301e-01       2.801355e-02       5.852883e-02
         610       2.042531e-02       2.267280e-03       1.010977e-02       1.143685e-01       3.069148e-02       5.748831e-02
         620       1.636509e-02       3.205661e-03       8.086299e-03       1.597819e-01       2.759674e-02       5.972449e-02
