#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       8.427915e-03       5.381944e-04       4.014585e-03       6.426034e-02       1.066602e-02       2.992327e-02
          10       7.420156e-03       1.623721e-03       3.983475e-03       6.004617e-02       1.504808e-02       3.167037e-02
          20       1.447545e-02       2.874226e-03       8.273970e-03       9.241611e-02       2.048283e-02       3.700585e-02
          30       1.825509e-02       2.341124e-03       9.962326e-03       9.237947e-02       1.080203e-02       4.304728e-02
          40       2.420315e-02       1.732829e-03       1.130452e-02       1.081222e-01       2.017540e-02       5.120323e-02
          50       2.258309e-02       3.750721e-03       1.046393e-02       1.030062e-01       1.973203e-02       5.771214e-02
          60       2.934634e-02       1.491740e-03       1.494341e-02       1.432710e-01       2.495968e-02       6.640797e-02
          70       3.549881e-02       1.384435e-03       1.729875e-02       1.879405e-01       2.502002e-02       7.834864e-02
          80       4.419143e-02       3.993142e-03       2.357347e-02       2.097912e-01       2.816392e-02       8.654163e-02
          90       5.499963e-02       4.088505e-03       3.007500e-02       2.022910e-01       3.718400e-02       9.454763e-02
         100       5.403271e-02       3.208647e-03       2.914636e-02       1.833335e-01       2.927559e-02       9.156230e-02
         110       3.623941e-02       4.993267e-03       1.999215e-02       1.829481e-01       3.459259e-02       8.661922e-02
         120       3.531741e-02       4.071153e-03       2.015818e-02       1.606469e-01       3.197789e-02       9.033730e-02
         130       5.299914e-02       3.815698e-03       2.968829e-02       1.904654e-01       4.448528e-02       9.530369e-02
         140       6.060666e-02       5.923044e-03       3.367903e-02       1.911347e-01       4.166558e-02       9.355401e-02
         150       6.753125e-02       5.676442e-03       3.893741e-02       2.022413e-01       4.654911e-02       9.809588e-02
         160       7.587826e-02       3.023902e-03       4.334456e-02       2.664146e-01       4.388994e-02       1.034443e-01
         170       8.548158e-02       4.334654e-03       4.886342e-02       3.145377e-01       4.512821e-02       1.092187e-01
         180       1.046224e-01       4.424159e-03       5.667953e-02       2.624085e-01       3.947886e-02       1.115093e-01
         190       1.279596e-01       3.580245e-03       6.759748e-02       3.753922e-01       4.744548e-02       1.204758e-01
         200       1.562076e-01       1.157377e-03       8.217811e-02       3.234711e-01       4.226445e-02       1.321519e-01
         210       1.712378e-01       3.874119e-03       9.398622e-02       3.157221e-01       5.685512e-02       1.399665e-01
         220       1.735554e-01       1.571313e-03       9.697661e-02       3.114238e-01       5.527388e-02       1.484148e-01
         230       1.936402e-01       5.923018e-03       1.077861e-01       3.262544e-01       5.693647e-02       1.599200e-01
