#step enthalpy vol
0 -6826.8507178834670412 1209.6169218196571364
10 -6827.7390261518667103 1209.1254683074726017
20 -6820.3613529680033025 1207.6866389933509254
30 -6811.4799625825007752 1205.5430993658703756
40 -6805.8733599889783363 1202.991690326069147
50 -6803.2238282861817424 1200.2514720584297265
60 -6799.4725192630321544 1197.4494544290660087
70 -6791.9073178912885851 1194.7203040498668543
80 -6779.7041445147242484 1192.3612863543180538
90 -6772.2049873063069754 1190.7792283355972813
100 -6769.6528365553913318 1190.260935440828689
110 -6769.7273735585231407 1190.8903042564156749
120 -6771.5861135814493537 1192.6637186175992156
130 -6774.7048869821683184 1195.5406461909390146
140 -6778.3523820980262826 1199.394086850058784
150 -6776.937425142511529 1204.1162735487355349
160 -6780.0696757304267521 1209.7064910341139239
170 -6788.6306345613029407 1216.041191355622459
180 -6795.1897170696101966 1222.8636754362551073
190 -6804.2266896711962545 1229.8850696801141567
200 -6805.6548983696466166 1236.81940640664493
210 -6803.1618730725158457 1243.5503661159482363
220 -6799.3586665877410269 1250.128032323390471
230 -6801.6884581565354893 1256.6412719804354765
240 -6807.0880674861218722 1262.9816246114196474
250 -6811.828776138115245 1268.9258143991305587
260 -6809.6504509231872362 1274.3100469678540776
270 -6806.3630596257189609 1279.1613627012611687
280 -6807.3224133939111198 1283.571238168701484
290 -6806.6888869232643628 1287.5240351055037991
300 -6809.3113130544725209 1290.9981236205346704
310 -6817.0271125461404154 1293.867848502301058
320 -6816.2132714952840615 1295.8968493117438356
330 -6815.4321263987740167 1297.0122149051840097
340 -6814.4929048838257586 1297.2699420670876407
350 -6816.3270238922132194 1296.7355205494470738
360 -6813.8243269757213056 1295.3760645894903973
370 -6810.9526234309105348 1293.2503400979765047
380 -6805.4316929599790456 1290.5150941749823232
390 -6797.5696066078035074 1287.4156820748119117
400 -6790.5840960875766541 1284.232957501440751
410 -6784.0666916249738279 1281.2350265792024402
420 -6779.6197803797895176 1278.6345399324927712
430 -6774.0631976511831454 1276.5843775157193249
440 -6773.2933165553940853 1275.2284929184177145
450 -6773.3577228041576745 1274.6202655113743276
460 -6776.1749847588680495 1274.7616727980571341
470 -6781.9802975609636633 1275.5759315095708644
480 -6786.5703007855518081 1276.8230328750971694
490 -6786.8846858620354396 1278.2838668316787789
500 -6787.6555315663808869 1279.9459095156689727
510 -6790.4914868367695817 1281.7702749299871812
520 -6785.7639831597034572 1283.7035506867637196
530 -6782.3067262033182487 1285.8614776528054335
540 -6786.2302638468026998 1288.3102296309095891
550 -6788.3935009475835614 1290.9486112765523558
560 -6785.3574882621696815 1293.7055032936996213
570 -6790.7066227200020876 1296.6368502480609095
580 -6797.3876701107228655 1299.5480691236937218
590 -6795.6714611475945276 1302.2237087112885092
600 -6794.8659068558645231 1304.6871456884380223
610 -6797.2291407451184568 1306.9966525246284164
620 -6798.2235536598300314 1309.1234464722315352
630 -6802.9371124364643038 1310.987898601958932
640 -6809.9602289482672859 1312.3985493218992815
650 -6813.8810313140265862 1313.1155839272164485
660 -6814.8069941606781867 1312.9728059660005783
670 -6812.0797829300217927 1311.9293970605251616
680 -6811.0146833451635757 1310.0719726150925908
690 -6812.4779863451394704 1307.4581595985998774
700 -6810.8147855963552502 1304.1030660853650716
710 -6807.9530916450312361 1300.087542359762665
720 -6805.226903655165188 1295.539535661448781
730 -6800.2514480830459433 1290.5964465530496454
740 -6795.4897467571672678 1285.4721413447218765
750 -6790.1389670684438897 1280.3778629813400585
760 -6790.4530217086557968 1275.5028434101168386
770 -6791.6411239696853954 1270.9025985424789269
780 -6790.7008429010420514 1266.5043086924906675
790 -6789.6802480171809293 1262.2950551379276476
800 -6787.1631683070918371 1258.3447366088871604
810 -6784.15867703906315 1254.7682060566758082
820 -6782.6223950172134209 1251.7067984299246746
830 -6788.0802629141680882 1249.1812589602059234
840 -6787.4306164769886891 1247.0306152483753976
850 -6784.119071361132228 1245.2497875638734968
860 -6782.5983528790193304 1243.9480536030337134
870 -6782.0058620573845474 1243.1757345424537107
880 -6782.2387626410445591 1242.9843821038164151
890 -6782.602406868442813 1243.387105900582128
900 -6779.8746769538929584 1244.3548243525435737
910 -6779.0214782372804621 1245.9456812914495458
920 -6784.0651690535478338 1248.1878877412764268
930 -6792.591839116799747 1250.8591622749538601
940 -6793.7278366962164 1253.6687289046665228
950 -6792.5685326633401928 1256.5716904771629743
960 -6794.7858684342390916 1259.6051558494680194
970 -6797.0676184826043027 1262.6904055154793696
980 -6797.5805255598370422 1265.7382574856178508
990 -6801.6350006961656618 1268.6983174993574721
1000 -6807.9703822217152265 1271.4321265258090534
