#! FIELDS es.morethan file.free der_es.morethan
#! SET min_es.morethan -3.222
#! SET max_es.morethan 219.392
#! SET nbins_es.morethan  631
#! SET periodic_es.morethan false
   -3.222000000   -0.000000000   -0.000000000
   -2.868644444   -0.000000000   -0.000000000
   -2.515288889   -0.000000000   -0.000000000
   -2.161933333   -0.000000000   -0.000000000
   -1.808577778   -0.000000000   -0.000000000
   -1.455222222   -0.000000000   -0.000000000
   -1.101866667   -0.000000000   -0.000000000
   -0.748511111   -0.167763956   -0.878531545
   -0.395155556   -0.843975656   -3.139522541
   -0.041800000   -2.986298440   -9.307944967
    0.311555556   -8.161781211  -21.162755689
    0.664911111  -19.020215562  -42.629050467
    1.018266667  -39.372264243  -74.297033836
    1.371622222  -72.696728634 -115.418626036
    1.724977778 -121.297564877 -159.405443810
    2.078333333 -184.257054638 -195.164828670
    2.431688889 -257.288042393 -214.580625012
    2.785044444 -333.744318684 -214.714980964
    3.138400000 -407.260401619 -199.686012959
    3.491755556 -474.431696875 -180.826878784
    3.845111111 -535.387138273 -165.623200556
    4.198466667 -592.080804381 -156.229468525
    4.551822222 -646.220906204 -150.259404800
    4.905177778 -697.859805932 -141.378197816
    5.258533333 -745.434871107 -127.474491889
    5.611888889 -787.537943167 -110.984989954
    5.965244444 -824.309924267  -97.867423645
    6.318600000 -858.022354298  -93.517620455
    6.671955556 -891.204839911  -94.971314795
    7.025311111 -924.823646050  -94.258480429
    7.378666667 -957.092469975  -86.966065626
    7.732022222 -985.583787659  -73.936786461
    8.085377778 -1008.801218498  -57.876989408
    8.438733333 -1027.635377217  -50.549018849
    8.792088889 -1045.412596574  -51.579412845
    9.145444444 -1064.495017447  -57.281355447
    9.498800000 -1085.364881587  -58.797704227
    9.852155556 -1105.303125859  -51.843210792
   10.205511111 -1121.868469840  -41.406971325
   10.558866667 -1134.560171139  -31.207688428
   10.912222222 -1144.188089187  -24.580145684
   11.265577778 -1151.818307118  -19.307505230
   11.618933333 -1158.084316808  -17.005406369
   11.972288889 -1164.256461773  -18.253592702
   12.325644444 -1171.130369992  -21.976568986
   12.679000000 -1179.520033922  -26.375659910
   13.032355556 -1189.424958464  -28.707686219
   13.385711111 -1199.670646677  -27.403469159
   13.739066667 -1208.820629428  -24.278545243
   14.092422222 -1216.386617251  -19.811905848
   14.445777778 -1223.382627340  -20.635954520
   14.799133333 -1231.133950394  -24.314702647
   15.152488889 -1240.610306773  -29.356759347
   15.505844444 -1252.149535614  -35.333333191
   15.859200000 -1265.156485963  -37.590691871
   16.212555556 -1277.734519782  -32.607762809
   16.565911111 -1287.470064888  -20.772813121
   16.919266667 -1292.090146595   -5.407240352
   17.272622222 -1292.067422401    5.412422448
   17.625977778 -1289.094600176    9.087237528
   17.979333333 -1287.309306337   -0.886059566
   18.332688889 -1290.419571388  -17.674415557
   18.686044444 -1299.594011229  -33.783596373
   19.039400000 -1312.940888246  -39.066073953
   19.392755556 -1325.731869423  -32.561537147
   19.746111111 -1334.871946615  -19.593278489
   20.099466667 -1339.169241114   -5.690091936
   20.452822222 -1339.495592591    2.933018728
   20.806177778 -1338.390087473    2.199319732
   21.159533333 -1338.689069117   -5.089400184
   21.512888889 -1342.095773251  -13.414674502
   21.866244444 -1347.655936122  -16.812595504
   22.219600000 -1352.543893244   -8.928553489
   22.572955556 -1353.435495852    4.973392417
   22.926311111 -1349.364871864   16.689184966
   23.279666667 -1342.565732217   19.246609208
   23.633022222 -1336.995063073   11.620680940
   23.986377778 -1334.693904693    1.513572338
   24.339733333 -1334.946587988   -0.772535982
   24.693088889 -1334.545035797    4.330677635
   25.046444444 -1331.894465629   10.157282435
   25.399800000 -1327.729497926   12.838524631
   25.753155556 -1323.467605088   10.570343717
   26.106511111 -1319.856379437    9.907399125
   26.459866667 -1316.128240558   10.829603129
   26.813222222 -1312.087787270   11.593248363
   27.166577778 -1307.975166369   10.949229579
   27.519933333 -1304.161458902   10.904407123
   27.873288889 -1300.248690490   12.205267572
   28.226644444 -1295.245159455   15.866155800
   28.580000000 -1289.632168213   15.441776732
   28.933355556 -1284.960929495   10.464754418
   29.286711111 -1282.160946000    5.315820956
   29.640066667 -1280.725995925    4.102086898
   29.993422222 -1278.213758074   10.821627097
   30.346777778 -1272.510224159   20.703696728
   30.700133333 -1263.520752847   29.271264534
   31.053488889 -1252.865437286   30.234464563
   31.406844444 -1242.741574764   25.886639823
   31.760200000 -1235.019623431   18.020763194
   32.113555556 -1230.137906471   10.475626803
   32.466911111 -1227.309132862    6.143179706
   32.820266667 -1224.954035727    8.242724430
   33.173622222 -1220.363038220   17.717365676
   33.526977778 -1212.266258499   28.129325094
   33.880333333 -1201.131821959   32.887228737
   34.233688889 -1189.856301621   29.314467886
   34.587044444 -1181.290295663   17.793593258
   34.940400000 -1176.922376197    7.870877833
   35.293755556 -1174.969448791    4.743259736
   35.647111111 -1172.837242727    8.665575116
   36.000466667 -1168.631986566   15.124631849
   36.353822222 -1162.599986410   16.749416900
   36.707177778 -1157.206749123   12.439788023
   37.060533333 -1153.770117785    7.556937213
   37.413888889 -1151.315716243    7.656878487
   37.767244444 -1146.876300234   18.148550656
   38.120600000 -1138.035784333   31.767804467
   38.473955556 -1125.225497689   38.368110957
   38.827311111 -1111.586902364   37.212937687
   39.180666667 -1099.731995099   29.733452072
   39.534022222 -1090.524346993   23.248350633
   39.887377778 -1082.413189711   23.526977302
   40.240733333 -1073.666729728   25.003044914
   40.594088889 -1064.955474365   23.550862670
   40.947444444 -1058.125522575   14.151191985
