#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.147656e-02       1.985223e-03       5.814204e-03       4.985066e-02       1.432812e-02       2.973117e-02
          10       1.183625e-02       1.015637e-03       6.324822e-03       5.754137e-02       1.314292e-02       2.952983e-02
          20       1.393725e-02       1.318868e-03       7.126066e-03       7.867119e-02       1.436592e-02       3.555274e-02
          30       1.356317e-02       1.215630e-03       7.323975e-03       1.211394e-01       2.008133e-02       4.298297e-02
          40       1.583276e-02       1.850820e-03       9.290690e-03       1.224482e-01       2.212059e-02       4.805457e-02
          50       1.895079e-02       2.854509e-03       1.061391e-02       1.384215e-01       2.073927e-02       4.647384e-02
          60       2.522768e-02       2.021967e-03       1.351223e-02       1.083581e-01       1.927768e-02       4.914448e-02
          70       2.727313e-02       1.896308e-03       1.565626e-02       1.187250e-01       1.932882e-02       5.504643e-02
          80       3.004342e-02       2.430087e-03       1.706770e-02       1.584832e-01       2.847905e-02       6.784017e-02
          90       3.057319e-02       2.853095e-03       1.686431e-02       1.555024e-01       2.564791e-02       7.334410e-02
         100       4.331292e-02       3.508237e-03       2.260260e-02       1.657154e-01       2.750155e-02       7.642305e-02
         110       5.398951e-02       5.949904e-04       2.975658e-02       1.665338e-01       3.519591e-02       8.126689e-02
         120       6.085015e-02       1.042346e-03       3.336547e-02       2.132073e-01       2.580958e-02       8.694410e-02
         130       4.259590e-02       1.708324e-03       2.365252e-02       1.729471e-01       3.578291e-02       7.991330e-02
         140       2.679735e-02       1.008674e-03       1.366290e-02       1.445440e-01       3.310264e-02       7.029132e-02
         150       3.088977e-02       2.211180e-03       1.699992e-02       1.507262e-01       2.066405e-02       7.578629e-02
         160       5.123199e-02       1.942966e-03       2.550247e-02       2.737662e-01       2.773312e-02       9.252913e-02
         170       5.673966e-02       2.940547e-03       2.773017e-02       2.907753e-01       3.124653e-02       1.075206e-01
         180       3.264605e-02       2.049452e-03       1.456714e-02       2.976714e-01       2.824949e-02       1.076348e-01
         190       2.407081e-02       3.979381e-03       1.155731e-02       2.264316e-01       3.414191e-02       9.761982e-02
         200       1.222263e-02       3.270348e-03       7.121459e-03       2.249199e-01       2.960658e-02       9.222274e-02
