#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 118000      5.00e-02    2.44e-01      4.28e-04    3.35e-03      3.77e-02    1.84e-01    1.5e-06
 120000      4.74e-02    1.68e-02      5.20e-05    2.34e-04      3.68e-02    1.30e-02    1.3e-06
 122000      5.18e-02    1.97e-02      8.78e-04    1.71e-03      4.08e-02    1.13e-02    1.2e-06
 124000      4.70e-02    1.55e-01      5.51e-04    6.47e-03      3.80e-02    1.18e-01    1.0e-06
 126000      3.96e-02    1.72e-01      9.00e-04    1.67e-03      3.23e-02    1.42e-01    9.1e-07
 128000      5.79e-02    3.30e-01      6.32e-06    3.98e-03      4.89e-02    2.77e-01    8.1e-07
 130000      4.17e-02    3.33e-01      5.15e-04    2.81e-03      3.56e-02    2.85e-01    7.2e-07
 132000      3.91e-02    3.44e-01      8.69e-04    2.88e-03      3.36e-02    2.99e-01    6.3e-07
 134000      3.31e-02    1.34e-02      3.09e-04    4.02e-04      2.91e-02    1.15e-02    5.6e-07
 136000      4.37e-02    3.02e-01      2.65e-04    8.13e-03      3.90e-02    2.64e-01    5.0e-07
 138000      3.68e-02    2.94e-01      3.93e-04    2.49e-03      3.32e-02    2.66e-01    4.4e-07
 140000      3.84e-02    2.19e-01      2.88e-04    1.56e-02      3.51e-02    1.64e-01    3.9e-07
 142000      3.65e-02    1.75e-01      9.14e-04    2.11e-03      3.30e-02    1.61e-01    3.4e-07
 144000      5.26e-02    1.25e-02      1.70e-04    9.44e-05      4.89e-02    1.16e-02    3.0e-07
 146000      3.55e-02    8.02e-02      4.40e-04    2.49e-03      3.32e-02    7.30e-02    2.7e-07
 148000      4.81e-02    3.05e-01      2.16e-03    1.47e-02      4.24e-02    2.66e-01    2.4e-07
 150000      3.90e-02    6.34e-02      1.66e-03    1.25e-04      3.49e-02    6.03e-02    2.1e-07
 152000      3.78e-02    2.62e-01      1.17e-03    2.86e-03      3.50e-02    2.49e-01    1.9e-07
 154000      3.37e-02    2.63e-01      9.33e-04    4.49e-03      3.16e-02    2.50e-01    1.7e-07
 156000      3.53e-02    7.70e-02      3.10e-04    2.19e-03      3.40e-02    7.23e-02    1.5e-07
 158000      4.24e-02    2.62e-01      6.77e-04    4.52e-03      4.07e-02    2.51e-01    1.3e-07
 160000      3.56e-02    6.68e-02      3.15e-04    9.79e-04      3.45e-02    6.45e-02    1.1e-07
 162000      4.06e-02    2.77e-01      1.43e-03    9.89e-04      3.80e-02    2.70e-01    1.0e-07
 164000      3.48e-02    1.31e-01      6.53e-04    4.62e-03      3.36e-02    1.23e-01    9.0e-08
 166000      3.31e-02    7.73e-02      8.97e-05    1.72e-03      3.24e-02    7.46e-02    8.0e-08
 168000      3.91e-02    6.41e-02      1.88e-04    7.41e-04      3.84e-02    6.28e-02    7.0e-08
 170000      3.53e-02    1.47e-01      7.04e-05    3.91e-03      3.47e-02    1.42e-01    6.2e-08
 172000      3.67e-02    3.04e-01      4.87e-04    1.25e-02      3.60e-02    2.83e-01    5.5e-08
 174000      4.19e-02    2.56e-01      1.59e-03    1.12e-03      3.95e-02    2.52e-01    4.9e-08
 176000      4.08e-02    1.11e-01      9.40e-04    4.55e-03      3.97e-02    1.04e-01    4.3e-08
 178000      3.28e-02    1.28e-01      3.34e-04    2.78e-04      3.24e-02    1.27e-01    3.8e-08
 180000      3.69e-02    7.67e-02      6.23e-04    5.83e-04      3.63e-02    7.59e-02    3.4e-08
 182000      3.83e-02    2.92e-01      4.99e-04    1.46e-02      3.78e-02    2.66e-01    3.0e-08
 184000      3.30e-02    2.79e-01      2.70e-04    4.21e-03      3.27e-02    2.75e-01    2.7e-08
 186000      3.26e-02    1.10e-02      3.37e-04    4.67e-05      3.23e-02    1.10e-02    2.4e-08
 188000      4.05e-02    3.02e-01      1.39e-03    3.32e-03      3.88e-02    2.99e-01    2.1e-08
 190000      3.54e-02    6.82e-02      1.27e-04    7.92e-04      3.52e-02    6.75e-02    1.8e-08
 192000      3.71e-02    2.70e-01      5.98e-04    7.59e-03      3.66e-02    2.62e-01    1.6e-08
 194000      3.57e-02    7.01e-02      3.52e-04    3.18e-03      3.55e-02    6.51e-02    1.4e-08
 196000      3.74e-02    1.30e-01      1.70e-04    1.04e-03      3.72e-02    1.30e-01    1.3e-08
 198000      3.60e-02    3.03e-01      7.05e-04    1.46e-02      3.55e-02    2.79e-01    1.1e-08
 200000      3.46e-02    1.50e-01      1.65e-04    8.40e-03      3.45e-02    1.33e-01    1.0e-08
