#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.327583e-02       2.388374e-03       1.281826e-02       1.013803e-01       1.986856e-02       4.678991e-02
          50       1.684231e-02       2.560806e-03       9.128285e-03       1.598901e-01       1.482183e-02       4.883901e-02
         100       2.264438e-02       2.946944e-03       1.210351e-02       1.681661e-01       1.843625e-02       5.248098e-02
         150       1.547557e-02       1.996530e-03       8.661003e-03       8.542606e-02       1.757257e-02       4.238083e-02
         200       1.350749e-02       2.503904e-03       7.774993e-03       1.558746e-01       1.874582e-02       5.171760e-02
         250       2.051745e-02       3.082909e-03       1.089740e-02       1.179906e-01       2.077028e-02       4.719555e-02
         300       1.015288e-02       2.653662e-03       5.956460e-03       1.585029e-01       1.980239e-02       4.794564e-02
         350       4.988275e-03       1.486987e-03       3.448497e-03       9.446184e-02       1.575761e-02       4.232371e-02
         400       1.529342e-02       2.042000e-03       8.420792e-03       7.235541e-02       1.442945e-02       4.102351e-02
         450       1.288709e-02       2.653924e-03       6.317649e-03       9.328440e-02       1.947861e-02       4.130123e-02
         500       2.289075e-02       3.270800e-03       1.285475e-02       1.191000e-01       2.294816e-02       4.407404e-02
         550       1.156220e-02       1.951107e-03       4.962751e-03       7.522332e-02       1.628766e-02       4.244701e-02
         600       7.517615e-03       2.608170e-03       4.401051e-03       7.124894e-02       1.888722e-02       3.995990e-02
         650       9.592836e-03       2.754924e-03       5.990374e-03       1.252789e-01       1.855809e-02       4.541083e-02
         700       1.356010e-02       4.310807e-03       8.034504e-03       1.252481e-01       2.013860e-02       5.281099e-02
         750       6.895827e-03       2.726496e-03       4.330473e-03       6.811124e-02       2.129990e-02       4.355213e-02
         800       1.174744e-02       9.533392e-04       6.360338e-03       9.345996e-02       1.970556e-02       4.643519e-02
         850       1.200339e-02       2.209170e-03       5.939921e-03       1.028040e-01       2.301215e-02       5.187364e-02
         900       1.351856e-02       3.894793e-03       7.154533e-03       9.772266e-02       1.638414e-02       4.559983e-02
         950       1.721533e-02       4.404956e-03       8.981738e-03       1.146695e-01       1.653370e-02       4.843373e-02
        1000       2.290443e-02       3.043476e-03       1.187225e-02       2.126294e-01       2.260721e-02       5.968324e-02
        1050       1.551922e-02       2.128768e-03       8.731722e-03       1.258146e-01       2.140180e-02       5.117571e-02
        1100       3.074049e-02       5.078123e-03       1.557523e-02       1.565410e-01       2.156045e-02       6.612932e-02
        1150       3.295069e-02       2.920106e-03       1.713430e-02       2.159941e-01       2.861850e-02       6.554116e-02
        1200       7.580205e-03       3.652796e-03       5.793108e-03       1.482710e-01       2.141545e-02       5.502268e-02
        1250       1.110809e-02       5.513845e-03       8.010153e-03       2.409660e-01       2.636189e-02       6.585357e-02
        1300       3.165158e-02       5.607569e-03       1.787585e-02       3.284397e-01       2.282156e-02       7.156587e-02
        1350       2.673558e-02       2.610919e-03       1.426226e-02       1.742624e-01       2.000910e-02       6.635487e-02
        1400       4.357708e-02       3.226081e-03       2.213428e-02       2.438834e-01       2.195400e-02       7.567623e-02
        1450       3.080394e-02       5.444272e-03       1.630242e-02       3.026039e-01       2.001664e-02       6.762685e-02
        1500       4.658146e-02       2.505254e-03       2.677479e-02       2.596555e-01       2.688101e-02       8.977413e-02
        1550       7.062407e-02       3.256541e-03       3.747326e-02       4.067302e-01       3.073272e-02       1.014759e-01
        1600       7.434572e-02       6.646334e-03       4.268958e-02       3.120653e-01       3.911009e-02       1.227696e-01
        1650       8.651967e-02       6.132988e-03       4.542216e-02       3.213434e-01       3.686489e-02       1.286235e-01
        1700       1.059790e-01       8.601932e-03       5.738835e-02       4.257695e-01       3.043721e-02       1.484448e-01
        1750       1.115822e-01       1.231643e-02       5.492428e-02       3.750300e-01       5.108847e-02       1.667042e-01
        1800       1.179364e-01       2.205364e-02       5.542023e-02       4.915965e-01       4.907727e-02       1.691886e-01
        1850       1.065217e-01       6.630744e-03       5.913259e-02       4.947188e-01       5.825481e-02       1.801115e-01
        1900       1.474776e-01       6.159848e-03       7.569070e-02       6.257209e-01       7.008798e-02       2.068877e-01
        1950       1.428884e-01       1.158583e-02       7.615761e-02       5.787295e-01       3.974978e-02       2.057615e-01
        2000       1.197335e-01       1.053956e-02       6.675456e-02       4.440726e-01       7.488329e-02       1.998516e-01
        2050       1.554010e-01       9.875152e-03       8.161923e-02       5.611150e-01       5.727594e-02       2.051926e-01
        2100       1.358579e-01       1.098557e-02       7.102757e-02       5.588001e-01       5.513899e-02       2.131185e-01
        2150       1.771619e-01       6.288136e-03       9.364442e-02       4.599803e-01       6.821675e-02       2.255375e-01
        2200       1.689222e-01       1.023694e-02       8.906039e-02       6.100555e-01       1.047253e-01       3.030912e-01
        2250       1.591322e-01       1.533217e-02       9.056320e-02       6.989520e-01       7.718074e-02       2.882625e-01
        2300       1.940249e-01       1.056691e-02       1.002854e-01       5.916725e-01       7.151204e-02       2.912825e-01
        2350       2.164562e-01       2.877064e-03       1.026102e-01       8.468621e-01       1.063496e-01       3.441914e-01
        2400       2.289888e-01       1.552776e-02       1.160928e-01       9.270462e-01       9.987232e-02       3.708580e-01
        2450       2.674169e-01       1.822045e-02       1.397476e-01       7.040757e-01       1.222403e-01       3.635576e-01
        2500       2.167815e-01       1.771851e-02       1.175394e-01       7.258628e-01       1.543759e-01       3.396016e-01
        2550       1.777004e-01       2.342331e-02       9.549027e-02       7.191329e-01       1.182948e-01       3.457621e-01
        2600       2.116463e-01       1.902497e-02       9.870551e-02       1.064425e+00       9.954586e-02       3.682620e-01
