#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 118000      6.58e-02    4.53e-01      2.39e-03    2.12e-02      4.77e-02    3.18e-01    1.5e-06
 120000      6.27e-02    4.60e-02      2.00e-03    2.99e-03      4.71e-02    3.05e-02    1.3e-06
 122000      6.49e-02    6.38e-01      8.75e-04    5.28e-02      5.12e-02    3.80e-01    1.2e-06
 124000      6.91e-02    4.36e-01      4.08e-03    3.30e-02      4.95e-02    2.82e-01    1.0e-06
 126000      6.74e-02    4.22e-01      1.77e-03    3.31e-02      5.46e-02    2.73e-01    9.1e-07
 128000      5.89e-02    3.81e-01      2.59e-03    1.87e-02      4.65e-02    2.95e-01    8.1e-07
 130000      5.67e-02    4.57e-01      6.94e-04    3.54e-02      4.85e-02    3.07e-01    7.2e-07
 132000      6.64e-02    3.26e-01      2.47e-03    1.30e-04      5.52e-02    2.84e-01    6.3e-07
 134000      6.45e-02    3.56e-01      1.32e-03    1.05e-02      5.62e-02    3.06e-01    5.6e-07
 136000      5.67e-02    3.35e-01      3.14e-03    5.35e-03      4.55e-02    2.97e-01    5.0e-07
 138000      5.09e-02    3.79e-01      1.90e-03    1.51e-02      4.40e-02    3.25e-01    4.4e-07
 140000      7.12e-02    3.39e-01      3.65e-03    6.45e-03      5.94e-02    3.07e-01    3.9e-07
 142000      6.31e-02    4.36e-01      1.53e-03    3.74e-02      5.72e-02    2.93e-01    3.4e-07
 144000      5.38e-02    3.38e-01      1.73e-03    1.76e-02      4.84e-02    2.86e-01    3.0e-07
 146000      6.74e-02    3.71e-01      1.50e-03    1.48e-02      6.23e-02    3.30e-01    2.7e-07
 148000      6.80e-02    2.98e-01      5.62e-04    1.10e-02      6.41e-02    2.69e-01    2.4e-07
 150000      6.15e-02    3.18e-01      1.62e-03    6.28e-03      5.72e-02    2.99e-01    2.1e-07
 152000      6.79e-02    2.84e-01      5.49e-04    2.34e-02      6.48e-02    2.04e-01    1.9e-07
 154000      4.89e-02    3.65e-01      7.45e-04    2.65e-02      4.66e-02    2.85e-01    1.7e-07
 156000      5.17e-02    3.43e-01      2.13e-03    7.12e-03      4.71e-02    3.26e-01    1.5e-07
 158000      6.02e-02    2.01e-01      1.47e-03    1.58e-02      5.72e-02    1.51e-01    1.3e-07
 160000      6.77e-02    3.20e-01      2.86e-03    3.65e-03      6.20e-02    3.10e-01    1.1e-07
 162000      5.52e-02    4.20e-01      1.68e-03    3.71e-02      5.22e-02    2.91e-01    1.0e-07
 164000      5.46e-02    3.67e-01      2.11e-03    3.04e-02      5.08e-02    2.69e-01    9.0e-08
 166000      9.16e-02    3.18e-01      7.90e-03    1.08e-02      6.50e-02    3.00e-01    8.0e-08
 168000      5.75e-02    2.67e-01      2.16e-03    1.79e-03      5.39e-02    2.62e-01    7.0e-08
 170000      5.78e-02    3.20e-01      1.20e-03    1.81e-02      5.61e-02    2.81e-01    6.2e-08
 172000      5.22e-02    3.17e-01      3.00e-03    2.67e-03      4.57e-02    3.12e-01    5.5e-08
 174000      4.71e-02    3.05e-01      2.33e-03    6.62e-03      4.27e-02    2.97e-01    4.9e-08
 176000      5.26e-02    2.99e-01      1.09e-03    4.03e-03      5.13e-02    2.94e-01    4.3e-08
 178000      5.14e-02    3.78e-01      5.24e-04    2.16e-02      5.07e-02    3.33e-01    3.8e-08
 180000      6.82e-02    3.42e-02      3.07e-03    3.64e-03      6.31e-02    1.78e-02    3.4e-08
 182000      6.23e-02    3.40e-01      8.10e-04    2.11e-02      6.15e-02    2.94e-01    3.0e-08
 184000      5.50e-02    3.17e-01      1.84e-03    8.89e-03      5.27e-02    3.07e-01    2.7e-08
 186000      6.57e-02    3.83e-01      1.99e-03    3.28e-02      6.34e-02    2.78e-01    2.4e-08
 188000      5.64e-02    3.48e-01      6.19e-04    1.57e-02      5.59e-02    3.23e-01    2.1e-08
 190000      6.74e-02    3.56e-01      3.28e-03    1.79e-02      6.18e-02    3.24e-01    1.8e-08
 192000      5.66e-02    3.02e-01      2.45e-04    1.43e-02      5.64e-02    2.79e-01    1.6e-08
 194000      5.40e-02    3.44e-01      1.09e-03    8.94e-03      5.31e-02    3.35e-01    1.4e-08
 196000      6.06e-02    3.29e-01      1.35e-03    6.08e-03      5.94e-02    3.24e-01    1.3e-08
 198000      6.32e-02    3.60e-01      9.87e-04    2.86e-02      6.26e-02    2.77e-01    1.1e-08
 200000      6.87e-02    3.35e-01      3.34e-03    1.05e-02      6.32e-02    3.24e-01    1.0e-08
