#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 118000      6.16e-02    5.06e-01      3.37e-03    3.74e-02      4.20e-02    3.09e-01    1.5e-06
 120000      6.00e-02    4.09e-01      1.74e-03    1.09e-03      4.53e-02    3.17e-01    1.3e-06
 122000      6.85e-02    4.11e-01      3.55e-03    2.14e-02      4.95e-02    2.97e-01    1.2e-06
 124000      7.31e-02    4.29e-01      2.80e-03    2.90e-02      5.65e-02    2.93e-01    1.0e-06
 126000      7.24e-02    3.23e-01      2.28e-03    7.11e-03      5.81e-02    2.63e-01    9.1e-07
 128000      8.33e-02    3.16e-01      3.55e-03    1.28e-02      6.60e-02    2.53e-01    8.1e-07
 130000      5.70e-02    3.75e-01      1.32e-04    9.52e-03      4.89e-02    3.15e-01    7.2e-07
 132000      5.46e-02    3.68e-01      1.34e-03    2.30e-02      4.67e-02    2.78e-01    6.3e-07
 134000      6.92e-02    6.56e-01      2.93e-03    6.22e-02      5.75e-02    3.78e-01    5.6e-07
 136000      6.38e-02    3.94e-01      3.05e-03    1.83e-02      5.27e-02    3.27e-01    5.0e-07
 138000      6.44e-02    3.53e-01      1.71e-03    1.16e-02      5.70e-02    3.09e-01    4.4e-07
 140000      5.92e-02    3.15e-01      2.00e-03    8.58e-03      5.21e-02    2.82e-01    3.9e-07
 142000      6.82e-02    3.22e-01      7.72e-04    1.97e-02      6.27e-02    2.59e-01    3.4e-07
 144000      4.75e-02    3.17e-01      1.58e-03    1.79e-03      4.26e-02    2.95e-01    3.0e-07
 146000      4.73e-02    3.20e-01      1.35e-03    1.71e-02      4.32e-02    2.71e-01    2.7e-07
 148000      5.30e-02    2.88e-01      1.68e-03    9.29e-03      4.85e-02    2.63e-01    2.4e-07
 150000      5.28e-02    3.28e-01      1.79e-03    1.08e-02      4.83e-02    3.01e-01    2.1e-07
 152000      7.49e-02    2.93e-01      2.85e-03    4.87e-03      6.82e-02    2.78e-01    1.9e-07
 154000      5.36e-02    2.92e-01      1.05e-04    6.12e-03      5.15e-02    2.77e-01    1.7e-07
 156000      5.76e-02    2.39e-01      8.38e-04    2.04e-03      5.52e-02    2.30e-01    1.5e-07
 158000      5.30e-02    4.05e-01      3.13e-04    2.93e-02      5.13e-02    3.20e-01    1.3e-07
 160000      5.40e-02    3.31e-01      5.47e-04    1.31e-03      5.24e-02    3.21e-01    1.1e-07
 162000      5.28e-02    3.34e-01      1.34e-03    5.06e-04      5.04e-02    3.26e-01    1.0e-07
 164000      6.00e-02    3.48e-01      1.06e-03    2.23e-03      5.81e-02    3.40e-01    9.0e-08
 166000      7.12e-02    3.06e-01      2.50e-03    2.31e-03      6.70e-02    2.99e-01    8.0e-08
 168000      5.69e-02    3.03e-01      1.10e-03    8.39e-03      5.53e-02    2.91e-01    7.0e-08
 170000      5.38e-02    4.09e-01      6.72e-04    3.12e-02      5.27e-02    3.18e-01    6.2e-08
 172000      5.47e-02    3.48e-01      1.46e-04    5.49e-03      5.40e-02    3.40e-01    5.5e-08
 174000      6.27e-02    3.18e-01      1.67e-03    8.38e-03      6.06e-02    3.07e-01    4.9e-08
 176000      7.24e-02    3.26e-01      3.59e-03    2.69e-04      6.58e-02    3.22e-01    4.3e-08
 178000      5.18e-02    3.42e-01      8.74e-05    1.80e-02      5.13e-02    3.07e-01    3.8e-08
 180000      7.26e-02    2.67e-01      2.77e-03    7.63e-03      6.85e-02    2.58e-01    3.4e-08
 182000      7.25e-02    2.67e-01      4.48e-03    1.20e-03      6.25e-02    2.65e-01    3.0e-08
 184000      5.00e-02    3.34e-01      5.19e-04    1.45e-02      4.95e-02    3.11e-01    2.7e-08
 186000      5.87e-02    3.57e-01      1.67e-03    2.66e-02      5.69e-02    2.84e-01    2.4e-08
 188000      5.36e-02    3.60e-01      1.03e-03    2.24e-02      5.26e-02    3.11e-01    2.1e-08
 190000      7.74e-02    2.84e-01      5.55e-03    6.39e-03      6.31e-02    2.78e-01    1.8e-08
 192000      5.44e-02    3.20e-01      1.01e-04    1.48e-03      5.42e-02    3.19e-01    1.6e-08
 194000      8.99e-02    3.29e-01      7.68e-03    1.58e-02      6.54e-02    3.03e-01    1.4e-08
 196000      4.57e-02    8.01e-02      1.85e-03    2.47e-03      4.31e-02    7.74e-02    1.3e-08
 198000      5.92e-02    3.43e-01      2.18e-04    1.43e-02      5.90e-02    3.22e-01    1.1e-08
 200000      6.03e-02    3.11e-01      5.61e-04    1.56e-02      6.00e-02    2.84e-01    1.0e-08
